# Z_VISTA ~ z_SDSS + alpha.(z_SDSS - r_SDSS) + beta +/- sigma
redshift,alpha,beta,sigma,betaSingle
0.04,-0.0419,-8e-04,0.0062,0.0102
0.11,-0.0348,-0.006,0.0029,0.0078
0.2,-0.0387,-0.0065,0.0021,0.0112
0.3,-0.0357,0.0022,0.0025,0.0188
0.42,-0.0269,0.012,0.0013,0.0242
0.55,-0.0225,0.001,0.0033,0.0144
0.71,-0.0438,-0.0121,0.0019,0.0246
0.92,-0.0363,-0.0273,0.0046,0.0092
1.17,-0.059,-0.0513,0.0112,0.0014
1.53,-0.0416,0.1196,0.0141,0.1427
2.06,-0.0867,-0.0032,0.0033,0.0122
2.98,-0.0209,-0.0041,0.0026,-0.0015
5.29,5e-04,0.0024,0.0017,0.0021
