# u_VST ~ u_SDSS + alpha.(u_SDSS - r_SDSS) + beta +/- sigma
redshift,alpha,beta,sigma,betaSingle
0.04,-0.0134,0.0234,0.0012,0.0034
0.11,-0.0118,0.0079,7e-04,-0.0106
0.2,-0.0054,0.0033,0.0013,-0.0047
0.3,-0.0011,-1e-04,0.0021,-0.0017
0.42,-0.013,0.012,0.002,-0.0075
0.55,-0.0036,0.0022,0.001,-0.0023
0.71,-0.0051,2e-04,0.0015,-0.0042
0.92,-0.0076,0,0.001,-0.0038
1.17,-0.0026,5e-04,0.0017,-3e-04
1.53,-0.0104,-0.0051,0.0025,-0.0082
2.06,0.0073,-0.004,0.0029,-8e-04
2.98,0.0309,-0.0313,0.018,0.0444
5.29,0.0064,-0.0596,0.0011,-0.0216
