label,pixels_28668,pixels_32764
222.0_-0.5,214973010,200408759
334.0_-28.2,109628643,103516794
4.8_-34.1,237875095,229002969
230.0_0.5,216187909,193913092
171.0_1.5,236235452,227079185
8.0_-29.2,215931157,211262242
171.0_0.5,225648784,210536087
176.0_0.5,241748881,225476729
13.5_-28.2,236273709,226448715
330.0_-34.1,105483562,100140281
137.4_2.5,215259748,201783981
232.0_-0.5,226713243,199558433
29.6_-29.2,237146423,225083822
32.2_-30.2,229546565,218952032
335.3_-32.1,220788291,213034044
204.0_1.5,236210677,220625633
208.0_0.5,244062526,235942055
135.4_2.5,212689064,192132238
30.5_-28.2,242260708,234922751
38.0_-30.2,233497861,221159845
167.5_2.5,226224574,215845947
175.5_-2.5,236606912,227340166
48.0_-34.1,235485172,222019789
233.0_-0.5,222489887,208297541
27.3_-29.2,233203818,227027003
177.0_1.5,240247718,224545499
32.7_-28.2,238869992,229573499
22.6_-28.2,236840319,219020733
161.0_1.5,244443604,233165612
345.2_-29.2,205466873,192853496
159.0_0.5,243811096,228778406
358.9_-29.2,237006610,226174453
237.0_0.5,37343941,34419069
234.0_1.5,213572109,201874904
156.0_1.5,0,0
40.4_-33.1,225813202,216978841
39.1_-30.2,217323567,201027199
353.2_-28.2,248933231,239686987
156.0_-0.5,0,0
26.5_-30.2,242333428,231382170
22.8_-34.1,235827824,227448497
38.0_-33.1,209813592,198384402
48.9_-31.2,236806335,224879451
49.7_-28.2,240724560,227919587
43.2_-34.1,234027444,217314733
129.0_-0.5,189104756,170735444
339.8_-33.1,229027372,214560583
139.0_1.5,211039133,196564844
350.5_-33.1,220314230,217935771
14.3_-33.1,234702383,230394857
183.0_0.5,246661317,230613868
177.0_0.5,242083569,231928411
342.5_-31.2,235734824,227899032
185.5_-2.5,240006239,233650069
342.7_-30.2,229588504,215466324
331.8_-28.2,222133263,208333114
0.0_-31.2,239553312,223707350
196.0_0.5,230541937,224109667
350.6_-32.1,235130547,219779599
170.5_-2.5,232173029,224147740
173.0_0.5,208525358,195701355
236.0_-1.5,232156631,211322994
129.4_2.5,196689593,179621793
12.7_-30.2,241640077,233168338
201.6_2.5,224484685,220171773
330.4_-29.2,193632575,178560960
208.0_-1.5,235724982,229278250
219.6_2.5,209428131,201593639
43.1_-31.2,214045056,200378275
202.0_-0.5,222707623,205604615
353.9_-35.1,231887752,218112429
9.3_-31.2,242489673,230126205
52.4_-31.2,135295567,130981253
31.6_-28.2,210799115,201620918
51.6_-27.2,149262569,141746583
221.0_-0.5,228106910,213066912
212.0_0.5,233978489,219840491
230.0_-0.5,211936069,197007233
217.0_0.5,216434059,200615127
185.5_2.5,245725887,234045122
158.4_-2.5,225223716,209275545
46.2_-35.1,240535453,231252019
43.8_-35.1,232027089,221460678
213.6_-2.5,240125118,225975041
329.7_-31.2,51305354,49669622
139.0_0.5,214766900,198444168
50.6_-30.2,220031568,210770646
216.0_0.5,229219387,217414451
338.6_-33.1,220200315,205845107
172.0_-0.5,238355488,215896230
183.5_2.5,251482746,247085104
166.0_-0.5,134631619,127196111
233.0_-1.5,215449530,193073057
160.0_-1.5,239960366,219064929
1.1_-29.2,225794569,212037093
233.0_1.5,238501687,219470958
209.0_0.5,240205114,238431759
200.6_2.5,212255241,201643010
52.2_-26.2,0,0
207.0_0.5,243741162,237371139
31.9_-29.2,222707420,213944994
175.0_-0.5,240782982,226097624
191.0_0.5,239080455,228812720
165.0_0.5,246649001,232977137
346.3_-29.2,225595940,213912043
1.2_-35.1,230361851,212347538
20.7_-30.2,252933458,246150505
19.4_-29.2,229644421,220452184
4.8_-33.1,237086007,223343227
187.0_0.5,248492327,239968721
51.9_-28.2,224309248,213533096
168.0_0.5,49332784,47989211
330.1_-30.2,124692661,115575871
45.1_-33.1,226417495,224793805
185.0_-0.5,206392328,200570843
20.0_-32.1,249336636,235568513
330.6_-32.1,213537658,192025624
44.0_-28.2,220152570,210765927
13.1_-33.1,253414069,242799332
24.7_-32.1,222288784,215444247
341.0_-33.1,214077398,204685525
178.0_-0.5,240902450,236446503
231.0_-0.5,240239480,222476612
164.0_-0.5,217797820,202798870
159.0_-0.5,229280060,208991778
131.0_-1.5,202771659,176207551
349.7_-29.2,239615815,231791609
195.0_0.5,238563116,222469615
218.0_-1.5,247630967,233150709
47.4_-35.1,227998690,218031862
203.0_1.5,236833300,220997375
28.8_-34.1,230135232,216027293
130.0_-1.5,206335347,169975781
12.4_-28.2,249034501,239612937
231.6_2.5,15543844,13320705
174.0_0.5,236116299,225299652
201.6_-2.5,241005880,228386335
46.7_-26.2,0,0
163.0_-0.5,137835564,132753128
46.3_-28.2,225733180,213698840
51.8_-32.1,234334794,222983459
236.0_-0.5,237259215,221431317
200.0_1.5,240179347,226576653
51.8_-30.2,230615694,214176354
179.5_2.5,241888882,232190182
234.0_0.5,227453828,199532632
339.5_-29.2,224927847,215343655
190.5_2.5,225609267,219309032
7.0_-31.2,219714689,211649899
140.4_2.5,218899833,199955648
10.7_-33.1,237164501,224175220
331.2_-34.1,225851046,213106649
13.7_-29.2,243342767,234008846
335.8_-30.2,228950513,210914889
159.0_-1.5,245609997,229915353
339.7_-28.2,232262101,224306684
231.0_1.5,238169738,218505242
42.4_-32.1,209854482,202910252
237.0_-0.5,76721523,70208695
45.9_-32.1,245730809,234615523
350.4_-34.1,236013677,228415722
184.0_-0.5,244578877,228860391
21.9_-30.2,229390692,220796566
197.0_0.5,238119799,227308093
169.0_-0.5,249969495,240218311
168.0_-0.5,234991836,224361176
330.8_-35.1,227845450,211443226
34.2_-29.2,239668363,231766364
332.4_-30.2,224193849,206323042
337.2_-34.1,215072842,204940586
167.0_1.5,234014470,224609360
51.6_-34.1,234143623,218507975
130.0_1.5,45774734,41540315
189.0_-0.5,217815376,212302450
216.0_1.5,217670266,204033019
346.0_-31.2,231570002,222251913
15.9_-29.2,230973759,215906103
2.4_-33.1,218634025,207367024
159.4_-2.5,235604267,226665602
49.9_-35.1,225163856,213792394
213.0_-1.5,241214103,221131561
351.9_-30.2,249379097,226144675
210.0_-1.5,242867123,237902228
238.0_-0.5,0,0
178.0_-1.5,241872490,229979430
235.0_-1.5,224768866,215206098
134.0_1.5,198253569,190123046
10.8_-34.1,213009738,205150320
210.0_1.5,233091495,218857731
340.4_-30.2,218446872,205170520
46.7_-29.2,234328323,223852780
