label,rmsAW_u,rmsAW_g,rmsAW_r,rmsAW_i,rmsTHELI_u,rmsExpo_u,rmsTHELI_g,rmsExpo_g,rmsTHELI_r,rmsExpo_r,rmsTHELI_i,rmsExpo_i,FileSeeing_u,seeing_e1_u,FileSeeing_g,seeing_e1_g,FileSeeing_r,seeing_e1_r,FileSeeing_i,seeing_e1_i,MeasSeeing_u,MeasBeta_u,MeasSeeing_g,MeasBeta_g,MeasSeeing_r,MeasBeta_r,MeasSeeing_i,MeasBeta_i,InputSeeing_u,InputBeta_u,InputSeeing_g,InputBeta_g,InputSeeing_r,InputBeta_r,InputSeeing_i,InputBeta_i,HeaderSeeing_Z,MeasSeeing_Z,rms_Z,HeaderSeeing_Y,MeasSeeing_Y,rms_Y,HeaderSeeing_J,MeasSeeing_J,rms_J,HeaderSeeing_H,MeasSeeing_H,rms_H,HeaderSeeing_Ks,MeasSeeing_Ks,rms_Ks,MeasBeta_Z,MeasBeta_Y,MeasBeta_J,MeasBeta_H,MeasBeta_Ks,InputSeeing_Z,InputBeta_Z,InputSeeing_Y,InputBeta_Y,InputSeeing_J,InputBeta_J,InputSeeing_H,InputBeta_H,InputSeeing_Ks,InputBeta_Ks,rmsExpo_Z,rmsExpo_Y,rmsExpo_J,rmsExpo_H,rmsExpo_Ks,seeing_e1_r_expo0,seeing_e1_r_expo1,seeing_e1_r_expo2,seeing_e1_r_expo3,seeing_e1_r_expo4
161.0_0.5,4.623962900421548,2.2385942158041794,2.7106841328685376,12.301600477861054,5.293975124692627,10.587950249385255,2.5629665176742042,5.730967357575438,3.1034622637211875,6.939552587285955,14.084102387103114,31.49301033962963,0.93,0.037000000000000005,0.71,0.054000000000000006,0.632,0.056,0.8320000000000001,0.053,0.8527498,2.101664,0.6581551999999999,2.244524,0.5934558000000001,2.813956,0.7883760000000001,3.056704,0.8334995999999999,2.0348628155499,0.6303103999999998,2.082051303955533,0.5629116000000001,2.4842914103885563,0.7707520000000001,2.9282037577727595,0.8681193771759489,0.9022543102816076,20.462355301331147,0.8553229264568833,0.9040722204615232,40.864440411360384,0.7863360465103911,0.8327973076692058,46.170506688052704,0.8135955549622041,0.8819264339482771,87.90138248136576,0.8189234944780309,0.8982017083897296,110.98358554436821,3.0612750917274028,3.0537153262872314,3.449662061150665,3.1535085046416373,3.0785151150211387,0.8593086205632152,2.8458394529026565,0.8629444409230465,2.8416389274799867,0.7883946153384115,3.1543363363641297,0.839052867896554,2.9074967284111266,0.8546034167794591,2.846650968459901,20.462355301331147,40.864440411360384,46.170506688052704,87.90138248136576,110.98358554436821,0.048846587171811666,0.03448103242060052,0.04361199317418574,0.03210009592193541,0.03210009592193541
38.0_-30.2,5.476278653038776,1.876383586807702,2.0805026515530467,13.435792794449062,6.269791429864093,12.539582859728188,2.148271568536137,4.8036812613769015,2.3819674857630817,5.326241218360513,15.382639170364726,34.396626858286496,0.915,0.039,0.787,0.044,0.8240000000000001,0.041,0.7979999999999999,0.048,0.8568412000000001,2.11183,0.7294260000000001,2.013418,0.7893246,2.320288,0.768914,2.856203,0.8376824000000002,2.041655671324436,0.7058520000000003,1.924874676908944,0.7696491999999999,2.2259298859093994,0.7498279999999999,2.73638032270863,0.9090499183360526,0.9543197927820668,24.582522682133856,0.8970499984514226,0.925855161055832,52.53039787219442,0.8833163116517448,0.928114515384172,49.676287124105386,1.0094738559390088,1.0641298249182545,75.64247241376846,0.8778501400044744,0.966352477002794,110.52494060960863,2.8811581610664287,2.970858211888733,2.96302184621442,2.6658510598157843,2.8485496131403307,0.9124395855641336,2.6972351291558683,0.8827103221116639,2.7656199216494843,0.8872290307683439,2.748767538387724,1.0266596498365088,2.5280829229782524,0.926304954005588,2.6617855114819324,24.582522682133856,52.53039787219442,49.676287124105386,75.64247241376846,110.52494060960863,0.0331967960520122,0.02875164291230259,0.04497950262180805,0.03902203970093021,0.03235391214326233
23.9_-29.2,5.961805958182764,1.8532758584978604,2.4661288121691665,15.000096050493806,6.825671641523442,13.651343283046884,2.1218155303941995,4.744523761676201,2.8234708770524777,6.313472813580291,17.173609968210357,38.40135930798635,1.073,0.04,1.095,0.033,0.69,0.041,0.968,0.045,0.9783658000000002,2.008646,1.0138022,2.224559,0.6988144000000001,2.209207,0.9060988,2.955773,0.9627316000000004,1.9726314951755681,0.9996044,2.1822879336164687,0.6736288,2.0719035457923027,0.8901975999999998,2.8632282510900744,0.8705702940277881,0.9543738105052376,19.844099252706773,0.8395392604219217,0.9484507549400464,40.79210529293741,0.8986449639399312,0.9796545791331258,41.71112229321314,0.9707140335019514,1.0482371692674457,89.35335660620602,0.9129069761554142,1.024844663556389,79.36897369151269,2.8810052678136735,2.8981369331142064,2.815667724658877,2.687739319918415,2.7246593907020755,0.9159476210104752,2.7015486137124656,0.9075015098800926,2.7019832658010183,0.9393091582662516,2.633432233302244,1.008474338534891,2.5425616117686856,0.985489327112778,2.569705477476289,19.844099252706773,40.79210529293741,41.71112229321314,89.35335660620602,79.36897369151269,0.01613657645869393,0.017764632799783686,0.018338021525296955,0.04019441318456552,0.024147460949416003
212.0_-1.5,5.172725616073199,2.359889532755481,3.1474613546247694,5.758796066413625,5.922253557842205,11.84450711568441,2.701837526051749,6.041492372411572,3.603528504909897,8.057734695836716,6.593245616436957,14.74294539070554,1.089,0.04,0.643,0.045,0.552,0.048,0.509,0.051,0.9995782,2.118129,0.6035666000000001,2.228902,0.5433351999999999,2.8873990000000003,0.5008229999999999,3.79114,0.9851564,2.0792404131483844,0.5711331999999999,2.005381685650935,0.5066703999999999,2.42186157866492,0.4596459999999998,2.82670521750848,0.8741319336756818,0.9095821932500974,19.057294293066775,0.8543975147389464,0.8772326607097211,37.01476780109047,0.8090503765659138,0.8455488054660798,44.543536682195,0.8869422994963064,0.9216742799256566,98.17659144026156,0.7967731937481123,0.8662359158976572,109.82174053273093,3.03143783347226,3.1769834677713966,3.3609467813438223,2.9857159324407183,3.2355507475214424,0.8671643865001948,2.804743333886168,0.833065321419442,2.944372862716864,0.8019976109321596,3.0868246828499037,0.8777485598513133,2.772469312342453,0.8212718317953144,2.9708742457543376,19.057294293066775,37.01476780109047,44.543536682195,98.17659144026156,109.82174053273093,0.018695837701081186,0.04423966642833388,0.04212597004581964,0.05200669160635752,0.03127690690764884
36.5_-32.1,5.233700015149185,2.315139644541897,2.037544955076561,5.5305725599291184,5.9920631473442985,11.984126294688599,2.650603379036017,5.9269293369151725,2.3327852190671536,5.216266326740894,6.331952523862847,14.158676273658685,1.088,0.038,1.018,0.037000000000000005,0.6459999999999999,0.045,0.883,0.066,1.0013722,2.119088,0.9484902,2.3039560000000003,0.6503228000000001,3.0052,0.8160814000000001,2.254343,0.9867444,2.0737067019827347,0.9329803999999998,2.2282388554299932,0.6246456000000001,2.7542252342147573,0.7961628000000002,2.173872570548475,1.1068188649902575,1.1592813849599308,13.334735433057524,1.0632284373836831,1.068533298718336,26.932923722689036,0.9402848533137788,0.9822751222500892,34.40435346833229,0.9451027693951802,0.9889706246279392,87.77042489418625,0.7529561228122825,0.8356873601662099,99.55456122932013,2.57438476747862,2.6601965846309668,2.8095536056935684,2.7944439578281135,3.4287130930632967,1.1217627699198616,2.4447801824300397,1.030366597436672,2.521531676804824,0.941150244500178,2.6441745640053527,0.9477412492558784,2.6175345676789177,0.7907747203324198,3.144435971729876,13.334735433057524,26.932923722689036,34.40435346833229,87.77042489418625,99.55456122932013,0.044552707740325936,0.06337397009634649,0.04347108870244199,0.03181033406447309,0.043918110971189805
38.0_-33.1,5.11872047719171,1.8464342135899845,1.9948574006483133,13.71007483280128,5.860423074336786,11.720846148673573,2.1139825311391722,4.727008642874253,2.2839122380022534,5.106983018816718,15.696664676074178,35.09880923572158,0.996,0.039,0.928,0.048,0.879,0.038,0.698,0.044,0.9226494,2.177078,0.8587448000000001,2.29864,0.8348238000000001,2.371773,0.6792988000000001,2.74068,0.9052987999999998,2.118936686983297,0.8394896000000002,2.2301235333584244,0.8156476000000003,2.3019183422763114,0.6545976000000001,2.5435008933814798,0.9945205621885316,1.0752225698207074,21.06429176288624,0.8775893635560881,0.96444607656322,37.5477898789171,0.8056474375096968,0.890785781756595,32.25923742555469,0.8587304244154004,0.9155472792087986,74.08457817005974,0.8168331941271165,0.8920094984031549,92.06710839894724,2.651925765354461,2.8535271022123285,3.1115034265358985,3.00835698606361,3.105927654616693,1.0386451396414147,2.5122878037519314,0.92249215312644,2.6739200106648457,0.8482715635131899,2.888001982065441,0.8722945584175973,2.7953530462757588,0.8490189968063098,2.879138519428209,21.06429176288624,37.5477898789171,32.25923742555469,74.08457817005974,92.06710839894724,0.01971803977100861,0.022748617245824557,0.020747031357933654,0.017267968174204618,0.018787990006516986
158.0_0.5,5.2456898721084295,2.1529343004847368,2.3904819659398817,6.592422642457754,6.005790334576937,12.011580669153874,2.464894480624974,5.511671616041482,2.7368628028045694,6.11981127216162,7.547664683349879,16.877091303344756,1.227,0.04,0.804,0.04,0.648,0.047,0.792,0.059,1.1357656,2.36407,0.7537134000000001,2.172121,0.617522,2.5790990000000003,0.7373174000000001,2.213625,1.1235312,2.317084933365286,0.7314268000000002,2.081493101968497,0.589044,2.325679843552808,0.7146348000000002,2.0930033207547165,1.0425039256737418,1.051388255268768,19.164819318563687,0.949230053932424,0.9505794321696404,34.83115205965397,0.8580126273375365,0.9042122584861776,40.14903159721908,0.8051856392476687,0.915150640287836,71.46319425391582,0.8775724141026157,0.9812075344100614,95.39962615854358,2.6832073222098107,2.8918938907558083,3.0531373642740904,3.0098593234326847,2.812030560599447,1.0147765105375357,2.534857938563918,0.9083588643392808,2.70162018836788,0.8632245169723551,2.8230921810445664,0.8715012805756719,2.7972106259894574,0.9424150688201228,2.6427358720404963,19.164819318563687,34.83115205965397,40.14903159721908,71.46319425391582,95.39962615854358,0.02901680086084424,0.0470580616063464,0.03409297006518186,0.04760759330468178,0.02376388943574359
7.9_-28.2,6.052681081800977,1.972927914679272,2.093105749970844,12.928258558288393,6.929714570553937,13.859429141107874,2.2588051695162976,5.050841906966378,2.3963967731416185,5.358506085805802,14.801563223384376,33.09730154074837,0.88,0.041,1.102,0.035,0.92,0.038,1.219,0.047,0.8028766000000002,1.839843,1.013715,2.139941,0.8855286,2.440513,1.139667,2.638129,0.7797532000000003,1.7772551023044263,0.9994299999999998,2.0976244991717,0.8690572,2.377911272049189,1.125334,2.6103553671029154,1.0297928091564477,1.087950752011965,12.909117821860088,1.0450504193036292,1.07856683995837,25.97757003733285,0.9640867597028994,1.0008065142697926,31.46204639126213,0.7514584589894312,0.8366079820594577,77.80337633752252,0.7996133807901573,0.8861046514233678,99.42215034408292,2.637191139028498,2.647930036209847,2.7694378797526977,3.42214658884814,3.1333330979918608,1.0505015040239296,2.50266600668083,1.0385336799167402,2.5027425119145827,0.9612130285395852,2.6030882486934392,0.7926159641189154,3.125847642799182,0.8440093028467356,2.8949486376274187,12.909117821860088,25.97757003733285,31.46204639126213,77.80337633752252,99.42215034408292,0.04131697486581598,0.02575396938365604,0.03498612104802257,0.02463587419222324,0.07575269050183052
182.5_-2.5,5.500748542782805,2.3462930413324656,2.695936364562441,9.423165659793355,6.297807006632032,12.595614013264065,2.686270903021539,6.0066843451359055,3.0865775437875373,6.901797205733267,10.788582363897406,24.12400354652997,0.996,0.043,0.718,0.052000000000000005,0.7609999999999999,0.042,0.8909999999999999,0.047,0.9180572,2.114305,0.663775,2.135494,0.7328201999999999,2.504076,0.8511905999999999,2.686837,0.9021144,2.0569055148399045,0.63555,1.9944536660345475,0.7106403999999998,2.365024472793728,0.8343811999999998,2.5979690876046995,0.7922426810517545,0.8588728758929051,23.03650357630909,0.6939622684836564,0.7534777698479993,42.85565373830047,0.7858012768702476,0.8299548937125385,33.26948943593593,0.828551885388003,0.916968007622548,128.54501226573404,0.8490433806347724,0.9199680815295654,109.1913878298409,3.2777704807020496,4.295925688501842,3.4707727608500165,3.0030127939747056,2.9919154946844944,0.8167457517858101,3.0215293377971806,0.7079555396959986,4.0,0.786109787425077,3.1619158961461458,0.8751360152450961,2.7935005087718427,0.8777361630591308,2.783179601405428,23.03650357630909,42.85565373830047,33.26948943593593,128.54501226573404,109.1913878298409,0.03094304094166611,0.03939834130707731,0.029881572270624164,0.031779682377560466,0.036779745679658034
129.0_1.5,5.019588696736501,2.561301169783828,2.6067480452762086,5.169969443474439,5.746927098893617,11.493854197787234,2.9324337092855037,6.557121113474243,2.9844658370367303,6.673468488139937,5.9190980158338835,13.235505528888693,0.82,0.036000000000000004,0.8,0.041,0.764,0.04,0.8340000000000001,0.063,0.7521382000000001,1.989094,0.7397606,2.089157,0.7252448,2.452569,0.7748154,2.438852,0.7282764000000002,1.9066416091799283,0.7155212,1.9877230803905013,0.7024895999999999,2.3209607083853965,0.7546308,2.349730923536037,0.9772390979868212,0.9784434319397248,16.07335710921133,1.0016684944964105,0.9913677227212973,41.9017698881809,0.9331625726316202,0.9520398346384364,42.428182678423774,0.9267064760111324,0.9502877850652266,80.37164820965715,0.8422476057968021,0.8839481362834551,104.54643816761896,2.8185326695942288,2.789207935203485,2.8876670271727267,2.8927434645820305,3.1436632048570106,0.9402868638794496,2.652685908063009,0.9491354454425944,2.6113989214357645,0.9112796692768728,2.698013062984624,0.9077755701304532,2.7038588936816037,0.8396962725669103,2.9035999689159726,16.07335710921133,41.9017698881809,42.428182678423774,80.37164820965715,104.54643816761896,0.043657739748792716,0.020712658142770013,0.015637943776653174,0.02635781669076165,0.01879500431592129
