label,rmsAW_u,rmsAW_g,rmsAW_r,rmsAW_i,rmsTHELI_u,rmsExpo_u,rmsTHELI_g,rmsExpo_g,rmsTHELI_r,rmsExpo_r,rmsTHELI_i,rmsExpo_i,FileSeeing_u,seeing_e1_u,FileSeeing_g,seeing_e1_g,FileSeeing_r,seeing_e1_r,FileSeeing_i,seeing_e1_i,MeasSeeing_u,MeasBeta_u,MeasSeeing_g,MeasBeta_g,MeasSeeing_r,MeasBeta_r,MeasSeeing_i,MeasBeta_i,InputSeeing_u,InputBeta_u,InputSeeing_g,InputBeta_g,InputSeeing_r,InputBeta_r,InputSeeing_i,InputBeta_i,HeaderSeeing_Z,MeasSeeing_Z,rms_Z,HeaderSeeing_Y,MeasSeeing_Y,rms_Y,HeaderSeeing_J,MeasSeeing_J,rms_J,HeaderSeeing_H,MeasSeeing_H,rms_H,HeaderSeeing_Ks,MeasSeeing_Ks,rms_Ks,MeasBeta_Z,MeasBeta_Y,MeasBeta_J,MeasBeta_H,MeasBeta_Ks,InputSeeing_Z,InputBeta_Z,InputSeeing_Y,InputBeta_Y,InputSeeing_J,InputBeta_J,InputSeeing_H,InputBeta_H,InputSeeing_Ks,InputBeta_Ks,rmsExpo_Z,rmsExpo_Y,rmsExpo_J,rmsExpo_H,rmsExpo_Ks,seeing_e1_r_expo0,seeing_e1_r_expo1,seeing_e1_r_expo2,seeing_e1_r_expo3,seeing_e1_r_expo4,dist2center
335.5_-31.2,4.528758236877967,2.3106050637167685,2.401230452464025,9.794764730043836,5.184975305401583,10.369950610803166,2.645411737449328,5.915320473412522,2.749168745026061,6.1473281954960575,11.214026139427183,25.075324749218716,0.9440000000000001,0.035,1.008,0.045,0.649,0.053,0.825,0.07,0.8687904000000001,2.040437,0.931541,2.211532,0.6263594000000001,2.398263,0.7634954,3.7916269999999996,0.8515808000000001,1.9837134665825529,0.9150819999999998,2.1600753905636987,0.5967188000000002,2.1847695847843718,0.7469908000000001,3.580667977928794,1.0295289874296112,1.0508740863848167,13.157383800455953,1.1002151342154645,1.1054276629380544,24.32992164750027,0.9558748533039504,0.9723539193739332,25.045593885392517,0.9617789046620768,0.9896319784052516,60.46617917867175,0.8622286188054963,0.9304757228916762,80.72523096313239,2.6839401161489174,2.618921136592444,2.833322423511816,2.792990390032994,2.9549731772044616,1.0120481727696329,2.5421351373913006,1.0684553258761087,2.4895296996012743,0.9315078387478664,2.646518599233033,0.9490639568105032,2.6218756171160567,0.8885514457833524,2.7600655652900272,13.157383800455953,24.32992164750027,25.045593885392517,60.46617917867175,80.72523096313239,0.055936532323272004,0.023923481037109284,0.06309796184989425,0.039379334668219856,0.04817899750680922,0.5385164807134502
334.4_-31.2,5.149936756134439,2.7502154061148896,2.065892436450297,9.113189453315666,5.896162592098317,11.792325184196635,3.148721618460936,7.04075558110181,2.365240250491944,5.288837983218618,10.433690605101102,23.330441449206987,0.996,0.040999999999999995,1.082,0.043,0.8029999999999999,0.048,1.0090000000000001,0.04,0.9056886000000001,1.933731,0.9993638000000001,2.251518,0.7789438000000001,2.384362,0.952184,2.3752590000000002,0.8893771999999998,1.9006350335544329,0.9847276,2.208726804136925,0.7578876000000001,2.282282875153683,0.936368,2.326137382196121,0.995545924220156,1.17299731673937,12.106210331720991,1.0495643075838847,1.2006903486110392,33.80688416340649,1.021950610120657,1.1168660246716549,24.322528990265678,0.872731319447615,0.9096150370862264,55.45183209582242,0.8654229522579711,0.9056152301511948,60.5863759069105,2.565368984143688,2.549472024665791,2.6080770109635303,3.031307846756313,3.0473813295292698,1.13559463347874,2.4435265889784716,1.1637806972220783,2.445649737994556,1.0811320493433096,2.475224125898891,0.8672300741724528,2.815092175288246,0.8626304603023895,2.8284852813700674,12.106210331720991,33.80688416340649,24.322528990265678,55.45183209582242,60.5863759069105,0.03290446854253182,0.06134648055773818,0.029038640822602657,0.02955982818774505,0.05160292630146168,0.6324555320336972
334.7_-30.2,6.931984581177439,1.8235597447056069,2.024518141573572,6.951367683488938,7.936429146990045,15.87285829398009,2.0877935517134487,4.668448304616994,2.317870820287582,5.182916717226232,7.958620860826483,17.796017251955906,1.331,0.033,1.16,0.042,0.737,0.043,0.6759999999999999,0.06,1.2264128,2.318333,1.0682832000000002,2.118141,0.7025376,2.2463330000000004,0.6477548000000001,3.281999,1.2138255999999998,2.2856162305971446,1.0525664000000003,2.076487327080779,0.6770751999999999,2.11426469683584,0.6235096000000001,2.9804069555068504,1.0392642254259834,1.0476766321050903,21.21257483867649,1.0842181808715372,1.075540698793713,42.007238357002656,0.8929418466362249,0.9176302036973346,46.57958287956804,0.7836767486134778,0.8617451250668473,88.73774103400959,0.7974877698665079,0.8693355679878089,111.87602088065135,2.6885558673052112,2.651541738165642,3.0005415421818435,3.2610000938228105,3.2185160005429334,1.0073532642101806,2.5225117235653656,1.035881397587426,2.51239916353195,0.8764604073946692,2.7929279061884853,0.8190902501336945,3.010837776782473,0.8274711359756176,2.967088475799128,21.21257483867649,42.007238357002656,46.57958287956804,88.73774103400959,111.87602088065135,0.024625389292136424,0.034064884231738035,0.016443705484211483,0.033224618512938016,0.012214940186446864,0.8544003745317578
335.3_-32.1,4.3296073293904005,1.9148580276296383,2.1311164113696917,5.472478454851968,4.956967431419068,9.913934862838136,2.1923209558331718,4.902178685740288,2.4399151793771594,5.455816200420922,6.265440582960018,14.009951052484508,0.9420000000000001,0.036000000000000004,0.8059999999999999,0.046,0.889,0.043,0.746,0.071,0.864836,2.024388,0.7458686000000001,2.016542,0.8370839999999999,2.151415,0.7074660000000002,2.676609,0.8456720000000001,1.9627701645750724,0.7217372000000002,1.920250870839459,0.8181679999999998,2.0751496500884232,0.6849320000000003,2.519979140269269,0.9485600390879292,0.9577474115296328,16.1741264965236,1.0059980351564215,1.0109910254659984,29.35118581670261,0.8778239155483009,0.9194124071098532,27.55264874255025,1.0672939628593845,1.070872104929267,72.47178979068131,1.0883572489578524,1.0953950771345518,84.57745569011753,2.8715755093475903,2.749537987585702,2.9939519251682882,2.6572618052892287,2.62914463344158,0.9158948230592656,2.682368882858268,0.9713820509319968,2.5822519651876035,0.8766248142197063,2.7826363920737203,1.033344209858534,2.516662929560128,1.0585901542691034,2.4978560874094056,16.1741264965236,29.35118581670261,27.55264874255025,72.47178979068131,84.57745569011753,0.011483675806667535,0.011840057097408652,0.01685077533271495,0.02409850268491409,0.025643039029505044,1.1401754250991423
334.1_-32.1,5.149859522565042,2.0296761088805058,2.251725336722153,9.517870441836145,5.896074167384716,11.792148334769433,2.3237761770572902,5.196121496394689,2.5780003380131924,5.764584001814933,10.897009868858195,24.366454818253,1.008,0.036000000000000004,0.937,0.043,0.7090000000000001,0.049,0.961,0.037000000000000005,0.9312326,2.0112520000000003,0.8638398000000002,2.0629009999999997,0.6675476,2.226398,0.90527,2.399922,0.9124652,1.9606817024499608,0.8446796000000003,1.9968246814231119,0.6410952,2.0636600086976467,0.8885399999999999,2.3404456911826093,0.989118450562446,1.0825845964333165,11.569635611744141,0.9926089540143376,1.0039267753685963,28.511433176247746,1.042223698362403,1.1086574010766654,23.10960493363029,0.9443272045595208,0.9754803009845988,45.226914050000154,0.9428804705504902,0.9783822667735534,45.3338444324109,2.643248263913725,2.7631882210117076,2.6157742726905084,2.8256481574683634,2.818678018012089,1.043169192866633,2.498737651886384,0.9640535507371926,2.5893865509626712,1.0715148021533307,2.48102592693919,0.9343606019691976,2.6436938544246487,0.9367645335471068,2.642902890764248,11.569635611744141,28.511433176247746,23.10960493363029,45.226914050000154,45.3338444324109,0.027358922075690684,0.030253983030315013,0.025385782551738508,0.02571763971823271,0.015585303303310094,1.4212670403551764
333.5_-30.2,4.8924376350580285,2.7186577969254397,2.195109661798266,6.2750588958437135,5.601351848377933,11.202703696755867,3.1125913116999344,6.95996575913629,2.513181051792834,5.619643671573198,7.184314929851465,16.064616554914508,0.895,0.040999999999999995,0.7170000000000001,0.047,0.685,0.045,0.69,0.046,0.8238454,2.0421720000000003,0.6695428000000001,2.08993,0.6711828000000001,2.646703,0.6967624000000001,3.180726,0.8036907999999999,1.9728874370785845,0.6430856000000001,1.9526292418757558,0.6463656000000001,2.4397642543884115,0.6755248000000003,2.957795891842562,1.0908237791130946,1.0989210367877595,20.919196908635236,1.0367977470477678,1.0370290693741124,41.7279957087004,0.9152754357179518,0.9425290542916122,48.55922053465709,0.7799560018514871,0.856839124014022,90.02357962887203,0.7988274932114539,0.8807863685727262,116.68840735860282,2.625472476901213,2.7046824648609733,2.9160294120550416,3.2898848597610084,3.1591302151725227,1.0622420735755191,2.5034496920207867,0.9996581387482248,2.5597595949612253,0.9007581085832242,2.7200066572776747,0.8126782480280439,3.019120431926919,0.8367727371454522,2.923552951867707,20.919196908635236,41.7279957087004,48.55922053465709,90.02357962887203,116.68840735860282,0.035097346631807524,0.04380476877771888,0.026493797785585027,0.042699209626478114,0.02321210763290616,1.7000000000000004
336.7_-31.2,5.23961621118673,2.2316889221873226,2.1866737254847632,15.654123460602374,5.998836600187683,11.997673200375367,2.5550606470122648,5.713289293354019,2.5035227483075047,5.598047048432678,17.922405950043657,40.07571802464431,1.206,0.027999999999999997,0.878,0.065,0.633,0.044000000000000004,0.691,0.051,1.1021842,2.119802,0.7965241999999999,2.1529830000000003,0.6229895999999999,2.749274,0.6710898,3.105956,1.0883683999999998,2.0966222684775446,0.7750483999999997,2.0750485545775845,0.5959791999999998,2.4820372904241363,0.6471795999999999,2.856958524959422,0.9766199619862892,1.049456088287813,15.040055528774667,0.9906825842047672,0.9982791757203082,29.065342163275176,0.953453086123316,0.9683977298979868,29.765559840806016,0.9443113624453706,1.0254814544766448,83.8480719696558,0.8363838200204197,0.886492304211677,89.77964786135028,2.685974548837946,2.7746022265671693,2.8432856918343927,2.723572815987552,3.1314947044001697,1.010912176575626,2.536633620817387,0.9578583514406164,2.59683211219565,0.9269954597959736,2.6556139381516344,0.9867629089532896,2.560368317161189,0.844784608423354,2.8943268146626178,15.040055528774667,29.065342163275176,29.765559840806016,83.8480719696558,89.77964786135028,0.03584015819626196,0.02133980861225293,0.023550317021787892,0.0325481559292744,0.029472371847422907,1.7117242768623575
334.9_-29.2,4.899037489802883,2.5818163966460044,2.4833853526921366,7.527116822246375,5.608908022075318,11.217816044150636,2.9559215925200086,6.609641617034176,2.843227890297227,6.357650838227914,8.617796049789872,19.26997778355932,0.9470000000000001,0.036000000000000004,0.792,0.049,0.701,0.046,0.97,0.042,0.8640386,1.975438,0.7286388000000001,1.9047740000000002,0.6597238000000001,2.23719,0.9149021999999999,2.430533,0.8460771999999999,1.927790964085872,0.7042776000000003,1.817790823603944,0.6334476000000001,2.074185343724821,0.8978044,2.3630353783436897,1.0251169594490008,1.034055829540724,14.066056051022642,0.961310719982448,1.00685626812261,30.377170757626878,0.8561401724151452,0.9137754662202175,38.59754111939485,0.8176736796355699,0.9098795656159252,90.40528520550224,0.8246738295637268,0.9445610019495236,108.41202754950457,2.7094022264479154,2.7574448669130405,3.015103324057299,3.0302621083898043,2.9098013399574985,0.993711659081448,2.548493109014032,0.96651253624522,2.589257175222274,0.872150932440435,2.8036902276591342,0.8677591312318504,2.8016486865391386,0.9031220038990472,2.715163115712061,14.066056051022642,30.377170757626878,38.59754111939485,90.40528520550224,108.41202754950457,0.0243703128346191,0.02363337627556372,0.0133104891376431,0.018945279949375005,0.023957183467843257,1.8027756377319966
333.2_-31.2,5.093423855159601,2.554951036602025,2.4094496002321057,8.690619092438105,5.831460971772225,11.66292194354445,2.9251634418056573,6.5408643011747,2.7585788473057367,6.168369823868638,9.949889798932382,22.248629959044518,0.932,0.036000000000000004,1.0590000000000002,0.054000000000000006,0.648,0.05,0.7829999999999999,0.045,0.8558341999999999,1.969854,0.9696094000000001,2.303722,0.6135654,2.413591,0.7523246000000001,2.7902669999999996,0.8376683999999996,1.9087496250260687,0.9552188,2.254629477558287,0.5831308000000001,2.177243298897284,0.7326492000000002,2.64936347585311,0.9789895549223888,1.2026599561503788,16.049499104995192,0.9839836654822972,1.087013637231142,32.313728441866175,0.9623037804900044,1.0373715329265645,35.59068825684333,0.8365954891613328,0.8920228771637978,77.90646339189686,0.8414046668788381,0.8953983296248952,89.6230314917993,2.5484478073545542,2.6382330986175138,2.7041450613886155,3.1058669896591966,3.09076190632177,1.1677199123007576,2.4458753421824198,1.048627274462284,2.4973195211450365,0.9969430658531288,2.5376666423818546,0.8490457543275955,2.8732262038753547,0.8523966592497904,2.866567679185136,16.049499104995192,32.313728441866175,35.59068825684333,77.90646339189686,89.6230314917993,0.0570164198734745,0.04649037226845243,0.035875824054926835,0.03671396519507919,0.05500324968598291,1.8110770276274946
335.0_-33.1,5.482788015325877,1.9542298265515048,2.2860233108930066,5.278923729612824,6.277243998746594,12.554487997493188,2.237397728418817,5.002973413448088,2.6172680886414024,5.852389361543121,6.04383977803372,13.51443658880064,1.194,0.040999999999999995,0.7609999999999999,0.06,0.7240000000000001,0.042,0.81,0.057,1.1016363999999998,2.371413,0.7156214000000001,2.323819,0.6830454,2.196181,0.7604436,2.531068,1.0892727999999996,2.3570032737826208,0.6932428000000002,2.1935795955648456,0.6580908000000001,2.0593417869124875,0.7388872,2.4070985889893266,0.8780268075822001,0.9090607305578904,24.2911977713644,0.8521096147561108,0.866172642921381,50.49359445629984,0.9176826020784372,0.94748826730856,41.52394166131955,0.8521438314328831,0.901904561048046,73.14458100027653,0.8604912859244923,0.920008453846636,87.46216760272725,3.0335060257990265,3.235902930507142,2.9009920702456338,3.0627417286867806,2.99176787251272,0.8661214611157808,2.80251161343114,0.8245452858427619,2.984183529026744,0.9055765346171201,2.7103366056580747,0.8586091220960919,2.8341089166911915,0.8778169076932719,2.7832943672549773,24.2911977713644,50.49359445629984,41.52394166131955,73.14458100027653,87.46216760272725,0.03171433734804241,0.031203460295371577,0.02156527483816728,0.03470776638554307,0.026318453294534968,2.1000000000000014
