label,rmsAW_u,rmsAW_g,rmsAW_r,rmsAW_i,rmsTHELI_u,rmsExpo_u,rmsTHELI_g,rmsExpo_g,rmsTHELI_r,rmsExpo_r,rmsTHELI_i,rmsExpo_i,FileSeeing_u,seeing_e1_u,FileSeeing_g,seeing_e1_g,FileSeeing_r,seeing_e1_r,FileSeeing_i,seeing_e1_i,MeasSeeing_u,MeasBeta_u,MeasSeeing_g,MeasBeta_g,MeasSeeing_r,MeasBeta_r,MeasSeeing_i,MeasBeta_i,InputSeeing_u,InputBeta_u,InputSeeing_g,InputBeta_g,InputSeeing_r,InputBeta_r,InputSeeing_i,InputBeta_i,HeaderSeeing_Z,MeasSeeing_Z,rms_Z,HeaderSeeing_Y,MeasSeeing_Y,rms_Y,HeaderSeeing_J,MeasSeeing_J,rms_J,HeaderSeeing_H,MeasSeeing_H,rms_H,HeaderSeeing_Ks,MeasSeeing_Ks,rms_Ks,MeasBeta_Z,MeasBeta_Y,MeasBeta_J,MeasBeta_H,MeasBeta_Ks,InputSeeing_Z,InputBeta_Z,InputSeeing_Y,InputBeta_Y,InputSeeing_J,InputBeta_J,InputSeeing_H,InputBeta_H,InputSeeing_Ks,InputBeta_Ks,rmsExpo_Z,rmsExpo_Y,rmsExpo_J,rmsExpo_H,rmsExpo_Ks,seeing_e1_r_expo0,seeing_e1_r_expo1,seeing_e1_r_expo2,seeing_e1_r_expo3,seeing_e1_r_expo4,dist2center
135.0_0.5,5.8554013520182036,2.3193990196337704,3.277489218709976,4.453653339958997,6.703849007925639,13.407698015851278,2.655479937578704,5.937833653312877,3.7523974065010495,8.39061567953026,5.0989877089190525,11.401683133578913,0.98,0.048,0.777,0.039,0.652,0.05,0.787,0.043,0.8961602000000002,1.9974889999999998,0.7269246000000001,2.209833,0.6344482,2.895248,0.745732,2.617728,0.8783204000000002,1.947600963799952,0.7038492000000003,2.0953893336638045,0.6068964,2.6253488009279646,0.7254639999999999,2.4877797866132285,0.9510418979583256,0.9659434630996344,15.823425269194493,0.939910921544802,0.9384569739559252,44.72519247200118,0.8812986403356056,0.9044345568485036,40.84731590811325,0.7966528859813071,0.8371524565360382,64.42129029042337,0.7997474484754089,0.8605277383266798,96.54674825476481,2.8496117171487403,2.9287968460505382,3.0522211790361076,3.4182869489151018,3.2680602802289487,0.9254869261992688,2.676627446116897,0.8977139479118503,2.7313609324138035,0.8636691136970072,2.8262263085300114,0.7937049130720764,3.1245380913450065,0.8166554766533596,3.0054198846683615,15.823425269194493,44.72519247200118,40.84731590811325,64.42129029042337,96.54674825476481,0.06445387937153968,0.060511325165062975,0.047153187224049264,0.031319224691341414,0.06745768161830268,0.5
135.0_-0.5,5.210000183973542,2.121101593351664,2.2109422567058807,11.61020319739877,5.964929210631306,11.929858421262612,2.42844921422832,5.430177522920473,2.531307789702562,5.660176289749671,13.292521640701844,29.72298198099637,1.125,0.032,0.774,0.044000000000000004,0.659,0.05,1.051,0.042,1.0445078,2.410592,0.7165060000000001,2.2266340000000002,0.6280821999999999,2.741803,0.9919396,2.52681,1.0300155999999998,2.361747060190861,0.6930120000000001,2.1055453144175043,0.6001643999999998,2.4845377841648952,0.9758792,2.45941741876749,0.8714075635289386,0.8924588257286448,14.694955982882032,0.8640772377054208,0.8737493801445769,33.05176909480344,0.8880402252343382,0.9089629534041416,37.69079241223678,0.9918791727720974,1.0089640894281102,72.63015134256601,0.9647379847854816,0.9843413518317814,84.67639289107048,3.1038936807826567,3.1949798580364703,3.0338947444450204,2.7533852933449148,2.804813232654164,0.8499176514572895,2.8767370329504147,0.8294987602891537,2.9459498988987733,0.8659259068082832,2.80822760391952,0.9707281788562204,2.59450006713456,0.9452827036635628,2.624295534030059,14.694955982882032,33.05176909480344,37.69079241223678,72.63015134256601,84.67639289107048,0.055334719366286866,0.04520717037596933,0.06009445413682146,0.04502535916371332,0.05141048481555044,0.5
134.0_0.5,5.518837033807089,2.456257882095805,2.3753542161599657,10.09438351697924,6.318516520005734,12.637033040011469,2.8121696492114863,6.288202499898621,2.719543042081544,6.081083109830903,11.557059688589527,25.84237108370873,1.165,0.034,0.635,0.046,0.799,0.049,0.8320000000000001,0.047,1.0871728,2.500628,0.6020302000000001,2.358043,0.7569317999999999,2.516947,0.7954624000000001,2.444646,1.0723456,2.462928082526493,0.5700604000000001,2.11796907503216,0.7358635999999998,2.400720366686104,0.7769248000000002,2.348500295851967,0.8665762163118211,0.8931399456127941,18.610232255077978,0.8139912172658077,0.8335621713411132,39.24078713384896,0.8625608725226321,0.9011834889832436,42.91792424726965,0.9200752129172276,0.9450018466030962,83.80799214482819,0.8730457996989531,0.9349955177645564,100.95036075055738,3.1008240289973346,3.4440678638906297,3.0657780084609074,2.908462443640245,2.9399581244336277,0.8512798912255881,2.855331993143236,0.7899243426822263,3.154618218487687,0.8571669779664872,2.8382244556625005,0.9040036932061924,2.7124580963141707,0.8941910355291126,2.7369458847786365,18.610232255077978,39.24078713384896,42.91792424726965,83.80799214482819,100.95036075055738,0.045359854200967664,0.09480489741908504,0.038877963755850516,0.041900618708200166,0.04040709378628416,1.118033988749895
136.0_0.5,5.336027090398755,2.077405126793234,2.1306461814783804,6.518423099405334,6.1092174157975325,12.218434831595065,2.3784211296655724,5.3183113250540615,2.4393768131745968,5.454612376995203,7.462942606509165,16.68764698033396,0.92,0.036000000000000004,0.972,0.046,0.667,0.044000000000000004,0.816,0.068,0.8518138000000001,2.168339,0.8896820000000001,2.0525189999999998,0.6372901999999999,2.470308,0.7547470000000001,3.0726869999999997,0.8326276000000001,2.0941305765745093,0.8733639999999999,2.0080519850793372,0.6085803999999998,2.2608772706552482,0.7354940000000001,2.908117209623188,0.9425179540844396,0.9556646567114552,20.05974517867612,0.7745401824508013,0.8153849674723214,35.93157857873828,0.7674060829462993,0.8137095402254814,41.57281062804263,0.7671353184518107,0.8314035847573567,100.7112706598467,0.7490109296889615,0.8044595437755843,96.09056599079115,2.8773695841346223,3.5874470974224866,3.60183306377424,3.4599495475031072,3.68518956326316,0.9151293134229104,2.6800900890849837,0.7705699349446428,3.2663887119151718,0.7706190804509626,3.27441828764062,0.7873071695147132,3.161925297711868,0.7589190875511684,3.3370037480998977,20.05974517867612,35.93157857873828,41.57281062804263,100.7112706598467,96.09056599079115,0.02156166789264069,0.05306497759643858,0.02359082702887294,0.02322922512235248,0.024794390601738714,1.118033988749895
134.0_-0.5,4.858348977488523,2.0321883662124995,2.518738642503734,10.342407579439426,5.5623237443266085,11.124647488653217,2.32665246047669,5.202553061643021,2.8837038718025236,6.448157884329783,11.841022437700195,26.477331093797908,1.071,0.048,0.81,0.057999999999999996,0.94,0.037000000000000005,0.614,0.05,0.994152,2.412568,0.7446204000000001,2.081734,0.8840802000000001,2.233756,0.6181626000000001,3.5183160000000004,0.980304,2.3871817392405226,0.7212408000000001,1.983258277641648,0.8661604000000002,2.1637002866680883,0.5923252000000001,3.1210290867307844,0.8602392451227359,0.8776052697368143,17.959558817318875,0.8209903977851641,0.8384087636294111,37.500691846724614,0.8233271993490889,0.8821666427111532,37.76890565501475,1.0572626743372444,1.157504179283739,71.6299872422202,0.8771278559049764,0.9992771116461244,81.58246301276105,3.1750877945479106,3.409448547675371,3.152330481369905,2.5756139805707376,2.7725519836245143,0.8338105394736285,2.9317330343462618,0.792817527258822,3.1016952682416625,0.8395332854223062,2.905139012538281,1.121608358567478,2.4580405666997827,0.9581542232922488,2.6035635705836064,17.959558817318875,37.500691846724614,37.76890565501475,71.6299872422202,81.58246301276105,0.013208430754126477,0.011413238779203971,0.023664436498468718,0.012603504156037726,0.012253061495906548,1.118033988749895
135.0_-1.5,5.162194970050618,2.362435572832601,2.646787752892404,5.170504825020476,5.910197021210951,11.820394042421901,2.7047524873360436,6.0480104239950325,3.030307298286512,6.775973111682372,5.919710974165941,13.236876145386546,0.693,0.046,0.647,0.044000000000000004,0.642,0.052000000000000005,0.6659999999999999,0.047,0.6378328000000001,1.8827040000000002,0.6054695999999999,2.271371,0.6110888000000001,2.492531,0.6420378000000001,3.000362,0.6056656000000001,1.7446382208008349,0.5729391999999999,2.043781245632569,0.5811776000000002,2.243340223895664,0.6160756000000002,2.735847587105828,0.8208089998238302,0.8678084233807087,18.775557989063522,0.7812377700812649,0.8175674329706345,39.08884929898071,0.7695830693534085,0.8081749645070001,40.72650364891436,0.9171252471916412,0.9578200598108086,89.50794643848154,0.9506035708164521,0.9746801342430348,80.259512287162,3.2268555524810734,3.569020246933517,3.6508874420060073,2.8713749972289317,2.827595843453635,0.8244168467614174,2.969890110964404,0.7715348659412691,3.2520176059637924,0.7629499290140003,3.340061692534377,0.9160401196216172,2.683150428265762,0.9327602684860694,2.653223721698088,18.775557989063522,39.08884929898071,40.72650364891436,89.50794643848154,80.259512287162,0.04169486793328736,0.048669935913998486,0.027634308801401053,0.040496692351068564,0.06393780539596305,1.5
134.0_-1.5,5.247940863023729,2.3392419435151006,2.26757833415909,9.917063882588753,6.0083674940758645,12.016734988151727,2.678198101130438,5.988633011338518,2.5961504347787407,5.805168851980902,11.354046439175859,25.388419657686647,1.2229999999999999,0.035,0.763,0.039,0.748,0.059000000000000004,1.012,0.049,1.1458964,2.61751,0.7069968000000001,2.0518009999999998,0.6984982000000001,2.561423,0.9489944,2.732332,1.1317928000000002,2.5651980091619637,0.6819936000000001,1.939029332608596,0.6749964000000002,2.3974290847525017,0.9339887999999996,2.669220692240777,0.8491606447040071,0.8756264306546541,20.707752278045,0.7891978589155911,0.8170271085534748,42.49255456737478,0.7840072496042568,0.8249829526945582,45.720761904184506,0.9060503523494368,0.93878833727752,91.4358418249978,0.8455548029862916,0.9359571849861138,107.84147672305654,3.1852199637039287,3.5735496975332435,3.5089530850556314,2.927743400094722,2.9368283281097005,0.833252861309308,2.9361239206473253,0.7738542171069497,3.2653443061302263,0.7795659053891164,3.2040427940561096,0.8983766745550399,2.7344067398422727,0.8927143699722275,2.7378467188112605,20.707752278045,42.49255456737478,45.720761904184506,91.4358418249978,107.84147672305654,0.07767757738363222,0.05138092851069365,0.054658588351138016,0.04661736714368858,0.06808751231280262,1.8027756377319946
134.0_1.5,5.615120133166739,2.523260728375797,2.484383582829924,8.12962713388387,6.428751040462598,12.857502080925196,2.888881207917449,6.45973475982512,2.844370763981978,6.360206381476716,9.30761010558364,20.81244890414901,0.852,0.035,1.187,0.047,0.84,0.045,0.725,0.044000000000000004,0.783417,2.055556,1.0886836000000002,2.268842,0.7902326,2.173542,0.6928340000000001,2.388805,0.760834,1.9632252524304343,1.0733672000000003,2.227265730791734,0.7704651999999999,2.084104460370418,0.669668,2.2398370197072763,0.9291109310133278,0.9361989629268199,18.690877061822626,0.8739549085736635,0.8808170355177876,37.73102656803631,0.8732533895909192,0.8977315666612145,45.47178587923227,0.9508410672234818,0.9838051758579732,93.82061987792402,0.9158927321375164,0.9959081217606152,110.4161680993293,2.93604497557603,3.1589783299314558,3.0805503983848914,2.8060365941068257,2.779532181003846,0.89489792585364,2.7402294734859596,0.836834071035575,2.91824500976244,0.8536631333224288,2.84652742534444,0.9442103517159464,2.641447363721824,0.9548162435212304,2.610091108319674,18.690877061822626,37.73102656803631,45.47178587923227,93.82061987792402,110.4161680993293,0.029601008489611887,0.028057647668074732,0.031335271912926954,0.01664606545365288,0.02253249473972385,1.8027756377319946
136.0_-1.5,4.954431809294068,2.3853651244148835,3.1674117497522785,13.282988967370624,5.672328978460777,11.344657956921553,2.731004530942599,6.10671177804758,3.6263697122913823,8.108809188229886,15.207694068742626,34.005437718728864,1.031,0.038,1.047,0.046,0.642,0.046,1.04,0.044000000000000004,0.9552956,2.2324740000000003,0.9779101999999998,2.465274,0.614649,2.556613,0.994814,2.469793,0.9385912000000001,2.177315344603381,0.9638204,2.4033260278627253,0.5852979999999999,2.298518861442592,0.9816280000000001,2.4169484560734857,0.8869418224127203,0.89979289460915,18.68105477435344,0.8405985002658403,0.8555249665770094,42.550852958563425,0.7786101843861852,0.8290860146944182,47.12502233291782,0.7091244312714396,0.7907934319660886,102.23108552703863,0.6667849630831897,0.7255957086444473,99.27361278987114,3.0716815384384133,3.2978207054004947,3.477328550301116,3.821654324436532,4.7830919843095865,0.8577857892183,2.845445621519419,0.8100499331540187,3.03462958065899,0.7843720293888364,3.1799945428175618,0.7451868639321773,3.4627898428066035,0.6793914172888946,4.0,18.68105477435344,42.550852958563425,47.12502233291782,102.23108552703863,99.27361278987114,0.04055779276720151,0.040362688889685416,0.02382201537172013,0.07710461858539898,0.05659187739709804,1.8027756377319946
136.0_1.5,5.107814117637413,2.2781232102774456,2.0839348596066563,11.585148234778936,5.847936383283073,11.695872766566145,2.6082232634466465,5.8321645175630445,2.38589702076366,5.335027925741771,13.2638362139984,29.658839416923872,1.1640000000000001,0.045,0.73,0.045,0.8059999999999999,0.042,0.7859999999999999,0.046,1.069293,2.247389,0.6780774000000002,2.179821,0.7599784,2.290175,0.73611,2.600402,1.054586,2.2026344257973665,0.6521548000000003,2.039406837400522,0.7389568000000001,2.1858148383320275,0.7142200000000001,2.473116987869969,0.8263913913779636,0.8557386438818911,18.614609275755946,0.8136458254871559,0.8330402768371189,37.562758862046216,0.8323612106234731,0.8798926524699703,47.426259904919775,0.8281699388180024,0.9544995889177512,117.2550103056262,0.8270574723264943,0.9430537162821612,113.7525659788238,3.296524543047158,3.4478810566866325,3.1635728083762684,2.880649495870085,2.914412293815976,0.8104772877637823,3.03102622843849,0.7888805536742377,3.1565198233062617,0.8383853049399405,2.9082789255176142,0.9127991778355024,2.687284079054036,0.9001074325643224,2.7198161574526334,18.614609275755946,37.562758862046216,47.426259904919775,117.2550103056262,113.7525659788238,0.02388170576476001,0.01769824479623483,0.015958660324178475,0.028338172949808338,0.011362821276622248,1.8027756377319946
