label,rmsAW_i1,rmsAW_i2,rmsTHELI_i1,rmsExpo_i1,rmsTHELI_i2,rmsExpo_i2,MeasSeeing_i1,MeasBeta_i1,seeing_e1_i1,MeasSeeing_i2,MeasBeta_i2,seeing_e1_i2,InputSeeing_i1,InputBeta_i1,InputSeeing_i2,InputBeta_i2
229.0_0.5,8.115122346758511,7.141779026312492,9.291003574803815,20.77531557245489,8.17662280722517,18.28348442333064,0.862,2.4935,0.0519590596390981,0.7280000000000001,2.814,0.0497630331753553,0.8439999999999999,2.417882463740818,0.7080000000000001,2.652062264150944
231.0_0.5,14.37051397359808,8.97672951808665,16.452801448372433,36.78958245886776,10.2774576252574,22.98109388594911,0.782,2.68,0.0602526724975703,1.14,2.139,0.0334907617673904,0.764,2.5520148498143778,1.126,2.096738661876965
229.0_-0.5,5.791021879781707,10.12629324811732,6.630140950162073,14.825445864967442,11.593593139769515,25.92406236399986,0.806,2.314,0.0938715953307393,0.836,2.3835,0.0627340271176264,0.786,2.2206861342868494,0.818,2.3098512103916558
231.0_-0.5,14.598743171388913,7.632982036140154,16.71410105692316,37.37386614608127,8.73900113317686,19.54100058923116,0.726,3.6985,0.0928391764699356,0.676,2.94,0.0537261698440209,0.706,3.4352096811594204,0.652,2.712968075927524
230.0_-1.5,8.841217437669934,10.877268625395368,10.122309844388305,22.634172901367567,12.453384849215151,27.846615072811048,1.052,2.257,0.0661010957935667,0.8220000000000001,2.433,0.0471691431352911,1.038,2.211418579931973,0.803,2.340169134396355
229.0_1.5,7.292445328599495,6.648830212483501,8.34912065671356,18.669201340759205,7.612245710272358,17.021498869600162,0.742,2.179,0.0697424892703862,0.892,2.3535000000000004,0.0479744136460553,0.72,2.078675208333333,0.876,2.29731691280599
229.0_-1.5,11.609649286631752,8.971527226916663,13.291887468264688,29.721563928317423,10.271501522096884,22.9677756344012,0.7160000000000001,2.7495000000000003,0.0480374926772114,0.675,2.688,0.0396975425330813,0.6940000000000002,2.59900105263158,0.65,2.488337028824834
231.0_1.5,8.244982419319026,8.745308106186451,9.43968037187835,21.107766997390485,10.012503250772864,22.38863789366575,1.042,2.549,0.0680531471278149,0.892,2.256,0.0698371893744645,1.028,2.5064683352294272,0.874,2.190090150250417
231.0_-1.5,7.492973038979832,7.052243030841811,8.578704832328006,19.18256716399136,8.074113046010787,18.05426562889801,0.886,2.631,0.0647603920522832,0.7320000000000001,2.501,0.0503095975232197,0.87,2.5450134991119,0.7100000000000002,2.382831824764663
228.0_-0.5,8.415868328457254,8.071490164969068,9.635327649250709,21.54524760920783,9.241049089873083,20.66361394836878,0.862,2.65,0.0681150910158544,0.5900000000000001,2.625,0.0718920268246279,0.845,2.5701241134751767,0.5580000000000002,2.3243392070484585
232.0_0.5,7.730566239339016,6.606043586598751,8.850725287419236,19.790823392845777,7.563259302296907,16.911961931393517,0.784,2.302,0.046480743691899,0.8420000000000001,2.486,0.0770967741935483,0.7640000000000001,2.208725349301397,0.8240000000000002,2.400773698014238
232.0_-0.5,9.334642537716112,7.141015364928388,10.687232241431174,23.89737778316755,8.175748491306509,18.2815293935027,0.8580000000000001,2.595,0.0664183736809435,0.9380000000000002,2.35,0.0606989672030456,0.8410000000000002,2.4991461456102786,0.9220000000000004,2.293820907617504
228.0_0.5,9.05162369833516,6.329880110667374,10.363203972223925,23.172828546588537,7.247079738703074,16.204962934101488,0.5700000000000001,3.165,0.0609169953712689,0.82,2.623,0.0366320393657736,0.5380000000000001,2.702994966442953,0.8019999999999998,2.5365941951566957
232.0_-1.5,6.3435188180493,6.303957865125993,7.262694694784641,16.239879037365547,7.217401359782746,16.138600061373637,0.998,2.145,0.0347957639939485,0.798,2.486,0.0541295585845269,0.982,2.1041199551569507,0.778,2.379065441176471
228.0_1.5,5.304230571325849,8.660756265576355,6.072813581110963,13.579223982048047,9.915699848458363,22.172178905637267,1.022,2.179,0.023643949930459,0.754,2.674,0.0684921912508119,1.008,2.133943686757589,0.734,2.549733378561737
228.0_-1.5,8.227416015839859,8.576854614764088,9.41956859653505,21.062795700574664,9.8196408484434,21.95738445175316,0.951,2.2,0.0731832498103262,0.7320000000000001,2.531,0.0338454454589355,0.934,2.146712802768166,0.7110000000000002,2.4077897646219686
232.0_1.5,7.415808986636152,5.361511751759303,8.490359708799728,18.98502146230151,6.138394804589224,13.725868055793043,1.084,2.387,0.0471558589995969,0.555,2.5015,0.0387858347386171,1.07,2.3330538,0.5180000000000001,2.150721559039264
230.6_2.5,8.580491608204898,6.687938847320149,9.823804842233784,21.96669542492634,7.657021186296836,17.12161987771581,0.7440000000000001,2.157,0.0548780487804877,0.952,2.258,0.0529980657640232,0.7220000000000002,2.062979263647905,0.936,2.2078328396106643
