label,rmsAW_i1,rmsAW_i2,rmsTHELI_i1,rmsExpo_i1,rmsTHELI_i2,rmsExpo_i2,MeasSeeing_i1,MeasBeta_i1,seeing_e1_i1,MeasSeeing_i2,MeasBeta_i2,seeing_e1_i2,InputSeeing_i1,InputBeta_i1,InputSeeing_i2,InputBeta_i2
45.4_-31.2,5.59408618572233,8.171136646061258,6.404669274033493,14.32127587014312,9.35513434607553,20.91871633646793,1.001,2.5825,0.0346238589864651,1.12,2.232,0.0287102473498233,0.9859999999999998,2.517901876034578,1.106,2.1873600000000004
44.3_-31.2,6.998060530905979,11.951463768786548,8.012079501834252,17.91555440723404,13.683230868883712,30.596634374647497,1.064,2.198,0.0303361079045774,0.7000000000000001,2.532,0.0481422023146086,1.05,2.167377708978328,0.676,2.386416637539322
44.9_-30.2,12.603703314304491,7.8159332307052765,14.429979924547208,32.266416025244844,8.948461955834468,20.00936922731659,0.6900000000000001,3.08,0.0958904109589041,0.7290000000000001,2.249,0.0314726840855106,0.668,2.856458506799889,0.7060000000000002,2.1340810379241524
44.7_-32.1,9.17048733257658,8.735625249433802,10.49929094706692,23.477128273189784,10.001417348076757,22.363849061645304,0.8320000000000001,2.308,0.0585661393470211,0.6400000000000001,2.877,0.0340124811965121,0.8140000000000001,2.2232219991971096,0.6140000000000002,2.616236055776892
46.0_-30.2,7.16517816209531,8.376054181848623,8.203412477782917,18.34338794779259,9.589744432798485,21.443320438587577,0.8260000000000001,2.364,0.02990484821024,0.81,2.4225,0.0396912899669239,0.8080000000000002,2.2851377812870117,0.79,2.3309802518603315
45.9_-32.1,5.387548032327865,7.87768847858599,6.16820374221217,13.792522866655002,9.019165539133096,20.167467245825144,1.078,2.62,0.0351622874806801,0.626,2.883,0.0422218768872346,1.066,2.581656168951464,0.598,2.6062546244394618
43.7_-30.2,9.550513900208326,6.336262817476307,10.934383364348507,24.45002449472612,7.254387299728621,16.22130313730434,0.964,2.373,0.032704640280307,1.15,2.062,0.0291238994807351,0.9479999999999998,2.320436568666936,1.1339999999999997,2.030493182886694
46.6_-31.2,7.934388822515717,8.000578969632924,9.084081762898242,20.3126243350066,9.159862862332732,20.482076024751787,0.6880000000000001,2.335,0.045484508899143,0.8380000000000001,2.495,0.0536347517730496,0.664,2.1820561965016747,0.8200000000000001,2.4119266741488965
43.5_-32.1,7.477420125727776,10.242754035628076,8.560898301945727,19.142750551613165,11.72692909539058,26.222210624613457,0.6280000000000001,2.6185,0.0495100567302734,0.8410000000000001,2.234,0.0335452902566996,0.6000000000000002,2.3760840205383538,0.8220000000000002,2.162403435274403
45.6_-29.2,8.852811199191637,7.419666336518567,10.1355835419545,22.66385379143836,8.494775988680104,18.994896564321696,0.642,2.475,0.0572969489519945,0.5940000000000001,2.923,0.0472696655631678,0.614,2.2718844984802438,0.5640000000000001,2.566223170416344
43.1_-31.2,8.615399479696778,12.587331619456618,9.863770864304838,22.05606216706748,14.411235971115875,32.2245032712053,0.98,2.33,0.0764412046099746,0.8480000000000001,2.691,0.0427317385853749,0.965,2.2802218570254724,0.8300000000000001,2.593170744314265
45.1_-33.1,5.664850894994739,6.240606004835453,6.485687789679474,14.502438778563665,7.144869814936107,15.976414596583478,0.625,2.0865,0.0507272082298686,1.061,2.236,0.0354137157695939,0.594,1.9144691815089052,1.0459999999999998,2.1932034408602155
44.0_-33.1,9.388554673635486,7.950258123451659,10.748956245845264,24.03539685288096,9.102250525539802,20.353250923340184,0.68,2.518,0.0651971575190925,0.6940000000000001,2.486,0.04687637983476,0.656,2.354425708362128,0.6700000000000002,2.3163233761722823
47.2_-30.2,4.863208582071452,8.091485977516701,5.567887505613603,12.45017495362376,9.263942295658868,20.71480471272869,0.614,2.873,0.0350657482780213,0.588,2.834,0.0374261326329612,0.586,2.582906805555556,0.5559999999999998,2.48901761879338
47.1_-32.1,7.200088903377816,11.532706524098153,8.24338178547726,18.432762036810743,13.20379569943997,29.52458474496716,0.722,2.646,0.0410037970771336,1.032,2.424,0.0343601895734597,0.7009999999999998,2.4891085942704865,1.018,2.3718452427951044
46.3_-33.1,9.911915512192152,7.824818880127726,11.34815206990879,25.375239447321004,8.95863513585823,20.032117149397067,0.956,2.477,0.0305788124368323,0.8580000000000001,2.293,0.0478451424397369,0.9399999999999998,2.424338616157711,0.8400000000000002,2.219092615259078
43.3_-29.2,7.952507541631087,5.0337403727819705,9.104825884413428,20.35900960084807,5.763129352798076,12.886748995980868,0.8500000000000001,2.5585,0.0381497910859819,0.912,2.243,0.0426075841499787,0.8340000000000001,2.4731077877074594,0.8939999999999999,2.1837991976351345
46.7_-29.2,9.145035529077354,9.212363334955906,10.47015117724066,23.411969767009563,10.547234782191014,23.584333947629297,0.7610000000000001,2.523,0.0440111420612813,1.0730000000000002,2.401,0.0320786997433705,0.7400000000000002,2.4067912918315946,1.0600000000000005,2.3429496630994846
135.0_0.5,4.317056427079847,7.82594119917538,4.942597903363716,11.051984897369206,8.95992007893589,20.03499036946593,0.742,2.587,0.0388323768803146,0.984,2.178,0.049278846153846,0.72,2.4525871146518883,0.968,2.1473855421686743
135.0_-0.5,11.57163329998465,8.182321353693393,13.248362965152422,29.624240180671496,9.367939717843562,20.947350018218405,0.984,2.492,0.0569064667638171,0.5860000000000001,3.038,0.0391802290536467,0.97,2.453244167962674,0.556,2.6472938875305623
134.0_0.5,10.020832289258257,7.781917459407865,11.472850887971772,25.654074481223702,8.909517299276061,19.92228632789161,0.786,2.408,0.0456569260442664,0.778,2.513,0.0440785979819436,0.766,2.313117061973986,0.758,2.400137993480623
136.0_0.5,6.482181593151144,7.88525304718371,7.421449705998742,16.594866034209016,9.027826213720626,20.186833102933864,0.76,3.084,0.144525721690794,0.5740000000000001,2.8040000000000003,0.0675853753477199,0.74,2.912074330164218,0.5420000000000001,2.433271773347325
134.0_-0.5,10.318812602729786,8.153748102524426,11.814008548865328,26.41692620202652,9.335226202580213,20.87420037430658,0.602,3.371,0.0545996696097335,0.8160000000000001,2.649,0.0503540597202343,0.574,2.9577392521271832,0.798,2.549997904296193
135.0_-1.5,5.024763453079933,6.169021090791607,5.752851677431213,12.863767415209884,7.062912246847309,15.793151903066358,0.6360000000000001,2.947,0.0467336683417085,0.808,2.276,0.0569843177317896,0.6100000000000002,2.675716085271318,0.7880000000000001,2.193455582722086
134.0_-1.5,9.919223995328974,9.330987889602332,11.356519552252138,25.39394970664125,10.683048034805708,23.888021612721104,0.9460000000000002,2.714,0.0717965306789376,0.73,2.354,0.0476092776051741,0.9300000000000004,2.64068699895434,0.708,2.243047710657946
134.0_1.5,8.091518434827398,6.989373259144538,9.263979456033884,20.71488780585329,8.002133444394579,17.89331434669081,0.684,2.3505000000000003,0.0399013199589038,0.523,3.48,0.0353097934710192,0.66,2.204661263275573,0.4860000000000001,2.762665090356359
136.0_-1.5,13.013100234296896,7.7851438560034305,14.89869845824651,33.31450252891051,8.913211200738324,19.930546142663417,0.974,2.405,0.0508306363165366,0.498,3.433,0.0653999116217409,0.96,2.3528629673826567,0.4539999999999999,2.5935270129483547
136.0_1.5,11.620051221679777,7.09311790445177,13.303796643701173,29.74819365414937,8.120910688806829,18.158908339376712,0.738,2.606,0.0430984274898078,0.98,2.5845,0.0565085771947526,0.718,2.4775479072985127,0.966,2.52807613320999
133.0_0.5,10.006225980247176,7.767742012177819,11.456128124784986,25.616681245966426,8.893287829742382,19.885996130775546,0.8180000000000001,2.527,0.0349672562729033,1.126,2.348,0.0287253141831238,0.8000000000000002,2.415742692168892,1.1139999999999997,2.305589490968801
133.0_-0.5,8.719815013078197,9.18436833493225,9.983316208473225,22.3233736830216,10.515183306663928,23.512664669571564,0.6240000000000001,2.6885000000000003,0.0334569241386049,0.678,2.483,0.0382608695652174,0.5960000000000002,2.4293771956162744,0.653,2.3085282104534444
137.0_0.5,10.182921060326953,6.29199130469983,11.658426321968324,26.069033766594025,7.203700844750833,16.107964778435523,1.004,2.325,0.0332717190388169,1.066,2.251,0.0376623376623377,0.988,2.26704127503065,1.052,2.197200719120135
137.0_-0.5,7.858420044283323,7.480333248056538,8.997105108699973,20.118138623763777,8.564233535699927,19.15020836100841,0.75,2.582,0.0344603381014303,0.8720000000000001,2.319,0.0306818181818182,0.73,2.452450174216028,0.8550000000000001,2.2624042247744054
