label,rmsAW_u,rmsAW_g,rmsAW_r,rmsAW_i,rmsTHELI_u,rmsExpo_u,rmsTHELI_g,rmsExpo_g,rmsTHELI_r,rmsExpo_r,rmsTHELI_i,rmsExpo_i,FileSeeing_u,seeing_e1_u,FileSeeing_g,seeing_e1_g,FileSeeing_r,seeing_e1_r,FileSeeing_i,seeing_e1_i,MeasSeeing_u,MeasBeta_u,MeasSeeing_g,MeasBeta_g,MeasSeeing_r,MeasBeta_r,MeasSeeing_i,MeasBeta_i,InputSeeing_u,InputBeta_u,InputSeeing_g,InputBeta_g,InputSeeing_r,InputBeta_r,InputSeeing_i,InputBeta_i,HeaderSeeing_Z,MeasSeeing_Z,rms_Z,HeaderSeeing_Y,MeasSeeing_Y,rms_Y,HeaderSeeing_J,MeasSeeing_J,rms_J,HeaderSeeing_H,MeasSeeing_H,rms_H,HeaderSeeing_Ks,MeasSeeing_Ks,rms_Ks,MeasBeta_Z,MeasBeta_Y,MeasBeta_J,MeasBeta_H,MeasBeta_Ks,InputSeeing_Z,InputBeta_Z,InputSeeing_Y,InputBeta_Y,InputSeeing_J,InputBeta_J,InputSeeing_H,InputBeta_H,InputSeeing_Ks,InputBeta_Ks,rmsExpo_Z,rmsExpo_Y,rmsExpo_J,rmsExpo_H,rmsExpo_Ks,seeing_e1_r_expo0,seeing_e1_r_expo1,seeing_e1_r_expo2,seeing_e1_r_expo3,seeing_e1_r_expo4,dist2center
181.0_-0.5,7.330481838203214,2.4455904829443056,2.5258824850929527,6.357079611246303,8.392668656558858,16.785337313117715,2.7999565439229346,6.260893166257057,2.8918828571829205,6.466446651627328,7.278220446915887,16.27459567453283,1.129,0.03,0.8170000000000001,0.043,0.797,0.048,0.764,0.047,1.0383366,2.129367,0.7587510000000002,2.0398080000000003,0.7637117999999999,2.241534,0.726144,2.603486,1.0226732,2.094420023001109,0.7375020000000003,1.948578121875268,0.7434235999999999,2.14849139321226,0.706288,2.4609882357327524,1.066867303670234,1.1081775799379958,11.81810106012239,1.0079968180027148,1.016754340134742,24.538072237735648,0.8666219022423066,0.9138363173408164,30.194498857108048,0.7442342352793572,0.8337046129964673,99.14261848219999,0.7369286014181363,0.8929011792781419,106.79036195656064,2.616237468794331,2.7388937714867327,3.01487011401925,3.443030048036334,3.101898236593177,1.0705551598759917,2.4838756743300534,0.976108680269484,2.577382869157463,0.8722726346816326,2.8007056672775916,0.7902092259929344,3.1425820717560766,0.8508023585562838,2.8718584853621114,11.81810106012239,24.538072237735648,30.194498857108048,99.14261848219999,106.79036195656064,0.014362574183178434,0.02200158102600436,0.03936378350778025,0.02754110624305739,0.03410565229323004,1.118033988749895
181.0_0.5,5.248448927538863,2.4725531251059336,2.68991382423264,13.526487860966007,6.008949177139241,12.017898354278483,2.8308260729337817,6.329919531558715,3.0796823373639484,6.886379055451227,15.486475952019974,34.628812960632445,1.072,0.035,0.9279999999999999,0.038,0.5479999999999999,0.051,0.8,0.063,0.9879998,2.271938,0.8631861999999999,2.103549,0.5412319999999999,3.1385400000000003,0.7515694,2.294625,0.9719996,2.211744089565005,0.8443723999999997,2.038399936943996,0.5044639999999998,2.5880428651803924,0.7311388000000001,2.1873211693249712,1.0170383494424342,1.0420820393564207,15.66098405286624,0.9646523568386728,0.9849505482405124,33.02566600859869,0.8645138812863252,0.9006519563543349,39.39821100756661,0.8314799836449139,0.9117290523093372,85.16665211333478,0.8231265152057968,0.9383973830232742,111.20129285936017,2.696881169087358,2.8034289579492064,3.068027041947383,3.023009544207319,2.9289865689041585,1.0029640787128409,2.5458201480546068,0.9431010964810248,2.6352788569971706,0.8595039127086698,2.8482917967916714,0.8680581046186743,2.8107102745406616,0.8975947660465484,2.728703181500764,15.66098405286624,33.02566600859869,39.39821100756661,85.16665211333478,111.20129285936017,0.04625987140754051,0.031630413903235184,0.06413482604025167,0.02742375310787526,0.033028695669335195,1.118033988749895
179.0_-0.5,5.6098894973144935,2.2511531218325085,2.584627909414776,9.60636434299615,6.422762485475359,12.845524970950718,2.577345209186038,5.763119089223398,2.9591404934889765,6.616839298413622,10.998326536296286,24.593005773898312,1.138,0.04,0.7170000000000001,0.046,0.625,0.055999999999999994,1.204,0.042,1.0554818,2.453723,0.6709396000000001,2.2277,0.6037812000000001,2.996743,1.1097,2.10887,1.0409636000000002,2.4003715265446965,0.6438792000000001,2.070670901939613,0.5755624000000001,2.656765874785908,1.0953999999999997,2.0573831078917344,0.815754157560878,0.8962528032714118,16.774275042176544,0.790294367130898,0.8191806682464919,36.10014430309481,0.7535110582223244,0.8453168144904061,42.928945875253945,0.8307585827456025,0.9230398080838572,107.25346642132679,0.7427259098533786,0.8627781057208114,129.13183474148929,3.087000752922259,3.5556226637013046,3.3624776613496463,2.98081154433566,3.255063893125091,0.8541056065428235,2.853227647047746,0.7747613364929838,3.2402533565735845,0.799833628980812,3.0901102423263707,0.8804796161677144,2.7791716138270997,0.8177562114416227,2.9964745667654937,16.774275042176544,36.10014430309481,42.928945875253945,107.25346642132679,129.13183474148929,0.06821686467926757,0.05284241240554111,0.07729088747878465,0.05325999922219948,0.06693724087613884,1.118033988749895
180.0_-1.5,5.065606097690663,2.1372044797168064,2.4506758574660443,10.160817780933096,5.799612421246038,11.599224842492076,2.4468854088277707,5.47140210729126,2.805778789212873,6.273912102507037,11.633120277390294,26.01244773067593,0.993,0.053,0.912,0.040999999999999995,0.9129999999999999,0.039,0.764,0.057,0.9004908000000001,2.0967,0.8436520000000001,2.02871,0.8591572000000001,2.328502,0.7301516000000001,2.611382,0.8829816000000003,2.0477932069294766,0.823304,1.9660460923372896,0.8403144000000001,2.2536474077937774,0.7083032000000002,2.481184627551784,0.9389247836441178,0.9707361178970528,25.31349804843238,0.9100857780982192,0.9418639473327964,50.8477676730141,0.8309443953228833,0.8837333747800119,51.09851968871153,0.830093902903648,0.9160752615822167,74.50045270271565,0.8097493708780144,0.9603358128353112,121.17786834115364,2.837362227675849,2.9180884742300264,3.1447016034525546,3.0063641878168155,2.8644967158483032,0.9282722357941056,2.6569957116046257,0.9011278946655928,2.721716801082965,0.8409667495600237,2.9093370470748283,0.8733505231644335,2.7937540029488783,0.9176716256706224,2.6775561824113443,25.31349804843238,50.8477676730141,51.09851968871153,74.50045270271565,121.17786834115364,0.012327551482558818,0.028761611933315726,0.02158135425735808,0.015289484203531491,0.02020196212794434,1.5
180.0_1.5,5.101689525268934,2.4715123016427136,2.8766465464437214,10.189479829431964,5.840924337480401,11.681848674960802,2.8296344341507416,6.327254946235214,3.293472631023416,7.36442868500344,11.665935456716651,26.085824702343487,1.0979999999999999,0.068,0.961,0.046,0.787,0.042,0.9740000000000001,0.044000000000000004,1.006648,2.5722869999999998,0.9092292,2.2688,0.7513674000000001,2.715751,0.9203746000000002,2.691434,0.991296,2.5216493981991355,0.8924583999999999,2.2102827522782382,0.7307348000000002,2.5882209758014767,0.9027492,2.610099977448591,1.025823949154167,1.0378073480186214,25.58649538864505,0.90514677318856,0.9426965658246568,47.57445550914596,0.8097714905366008,0.8517711108871594,51.595363135313164,0.8086801843619974,0.8727092603235744,90.06688876283295,0.7428048996446449,0.8149277704936715,116.54467349186892,2.7034630110302063,2.915512422774784,3.320966345344214,3.200451433188737,3.591351913889927,0.9978146960372428,2.549277574664333,0.8993931316493138,2.7194816137348923,0.8093422217743188,3.0494912298172983,0.8308185206471488,2.9520480828074347,0.769655540987343,3.2587928298693254,25.58649538864505,47.57445550914596,51.595363135313164,90.06688876283295,116.54467349186892,0.02730326111222514,0.03997094695975367,0.03744395417079549,0.04789476147561855,0.02361290849243192,1.5
181.0_1.5,5.076666274335373,2.433354906039848,2.535767829312732,10.626868409933461,5.812275217486567,11.624550434973134,2.7859480319250207,6.229569181166103,2.903200587780145,6.491753866593751,12.166701642532814,27.20557193466173,0.907,0.038,0.685,0.052000000000000005,0.573,0.045,0.7140000000000001,0.052000000000000005,0.8331302000000002,2.062765,0.6414092,2.261457,0.5713154,3.20343,0.6985930000000001,2.84995,0.8142604000000003,1.9939497033120919,0.6128184,2.082544228028362,0.5386308000000001,2.741282376509416,0.6751860000000003,2.663098657032667,1.0473675503018485,1.1118872715195254,13.041225113581458,0.8951923292539542,0.92261367871573,28.447392484458145,0.8182789919263588,0.8788006181062108,35.55799809762126,0.8193217920188836,0.8789145118101682,66.21348614031977,0.837939029550049,0.9138654356563786,102.56839268877407,2.6126948853570764,2.9823365871360514,3.1690441569994374,3.1684713045986155,3.0147585572542077,1.0745745430390508,2.4787038765056857,0.8796273574314599,2.7695804972436457,0.8362012362124215,2.9311243569717456,0.8364290236203363,2.9222515950229893,0.8723308713127571,2.8027247254649907,13.041225113581458,28.447392484458145,35.55799809762126,66.21348614031977,102.56839268877407,0.03571232528503332,0.03092095430781905,0.02778646910367366,0.04358911812769295,0.05162151826409245,1.8027756377319946
181.0_-1.5,5.348746659539216,2.236941092961329,2.5090987411098187,7.8252206324823,6.123780050506445,12.24756010101289,2.561073857331425,5.726735240390664,2.8726671486966304,6.4234790212161625,8.959095102128982,20.033145665245822,0.9009999999999999,0.038,0.812,0.043,0.55,0.057999999999999996,0.696,0.054000000000000006,0.8318289999999999,2.129394,0.7541334000000001,2.100453,0.5338524,2.946034,0.6652471999999999,2.628313,0.8136579999999998,2.066266797755439,0.7322668000000001,2.005784867494575,0.4957048000000001,2.42218376208397,0.6404943999999998,2.4422974931794137,0.9544234407891492,1.0155921714110965,14.580562325575983,0.9894155992245608,0.9955250267667376,37.04818535252589,0.8487745572752573,0.8911664486100132,27.83445913360569,0.831445819459769,0.9488850187890896,83.98265232776025,0.7983539690196441,0.8973994424819115,76.07570580757991,2.7410056176677102,2.7803365458158606,3.1097632248043934,2.8968553478975014,3.0819926758360583,0.9771843428221928,2.5866124655975082,0.9540500535334752,2.6046025697288124,0.8473328972200262,2.87052845447962,0.9083700375781792,2.6986376286038967,0.856398884963823,2.862824822656417,14.580562325575983,37.04818535252589,27.83445913360569,83.98265232776025,76.07570580757991,0.05975368429443895,0.055938454137508864,0.08689384771615337,0.06918643693447846,0.06210872733743345,1.8027756377319946
179.0_1.5,4.817530437498776,2.5238857563284034,2.7875001692558232,8.09137973178952,5.515590597892347,11.031181195784693,2.8895968024203884,6.461334877778016,3.1914089437809907,7.1362073422951005,9.263820654925821,20.714532715780766,1.0170000000000001,0.039,0.6729999999999999,0.059000000000000004,0.624,0.053,0.789,0.046,0.9335156,2.1661479999999997,0.6085202000000001,2.632362,0.5938218000000001,2.6617610000000003,0.7487043999999999,2.418949,0.9170311999999996,2.110329084371492,0.5790404000000001,2.3639717921949734,0.5616436000000001,2.3615000788423504,0.7274087999999999,2.2994899774631707,0.8960397177949596,0.9226326326578778,22.452502832375067,0.8828564423397626,0.9283034210817174,40.56337399559768,0.8395494418378109,0.9006281034192078,43.172863311213334,0.7550652294226925,0.8214576008084771,86.3986652713398,0.7468996986990978,0.8517360499311466,101.64730160689552,2.9822686498766853,2.9623726563338644,3.0681281860254432,3.5370293302714235,3.3211859118799723,0.8796652653157555,2.7757409856661437,0.8876068421634347,2.7487479233010363,0.8594562068384156,2.849568260758,0.7759152016169542,3.2307239051062693,0.8092720998622932,3.0408218176961133,22.452502832375067,40.56337399559768,43.172863311213334,86.3986652713398,101.64730160689552,0.03184221080613736,0.049101261237110894,0.03628933190840866,0.06451738896900294,0.04763396704245272,1.8027756377319946
179.0_-1.5,5.094999086182317,2.2536064921019854,2.3452869045167613,7.4966401134950145,5.833264453770133,11.666528907540267,2.580154072807562,5.7693998992206526,2.685118976981239,6.004108560204744,8.582903265940441,19.19195514694778,1.101,0.042,0.7490000000000001,0.039,0.7040000000000001,0.049,0.618,0.051,0.9986304,2.02445,0.7006505999999999,2.147698,0.6650024000000001,2.380433,0.6041858000000001,3.3386709999999997,0.9842608000000002,1.980403829344924,0.6753011999999998,2.029908129247499,0.6380048000000001,2.2033267289859317,0.5763716000000001,2.941697010544185,0.9356944026152172,0.9941370261391668,24.759993761952853,0.8816601394836472,0.899899058604394,48.86809243552516,0.8300800664334044,0.8917910081173359,53.725985168223744,0.8572608264073515,0.9929523729527416,82.31369672079376,0.8056677627734569,0.9039950855313508,126.49056505202265,2.7832692855648085,3.0712285935308663,3.106919280221365,2.7857953883106545,3.0540339424963063,0.9546740522783336,2.6120576422407957,0.8579981172087879,2.8490430848982684,0.8485820162346718,2.8696220253218203,0.9523047459054832,2.6039089880691195,0.8627901710627015,2.8388611873458256,24.759993761952853,48.86809243552516,53.725985168223744,82.31369672079376,126.49056505202265,0.04340202330544552,0.0319676217581264,0.018891940557476672,0.04385216704609718,0.05735458739847633,1.8027756377319946
182.0_0.5,5.1114334947262,2.4581217610533472,2.4000457542317166,5.972854519856683,5.852080208112023,11.704160416224045,2.814303604229976,6.292974168380892,2.747812384019892,6.1442952800842345,6.838321139783914,15.290950920530676,1.117,0.038,0.675,0.047,0.644,0.049,0.991,0.047,1.0345458,2.418917,0.6279636000000001,2.13194,0.6288925999999999,3.100407,0.9228296,2.246275,1.0210915999999999,2.3648628554040294,0.5979272000000001,1.950223317743555,0.6017851999999998,2.7890607159049936,0.9056591999999999,2.1922772039114724,0.8874085537897244,0.9530865810694936,20.010012021601874,0.8929554967151355,0.9294800509685941,42.25337317180808,0.8631338375871229,0.9074959909875938,50.0536678733791,0.8284043422036719,0.8957811415079936,86.4862936667987,0.8456400101010152,0.9668153012504784,94.82290902507314,2.884665219026544,2.9583497455105685,3.039761869819343,3.089073783561976,2.8473515777669705,0.9133731621389872,2.706454003964724,0.8865601019371879,2.7621902164192127,0.8663919819751875,2.8212235331225686,0.8531622830159872,2.8596651869835847,0.9272306025009568,2.6653732029447763,20.010012021601874,42.25337317180808,50.0536678733791,86.4862936667987,94.82290902507314,0.06349427369059912,0.04652991493102709,0.06797405349046637,0.04282453554501475,0.03435031982167003,2.0615528128088303
