label,rmsAW_u,rmsAW_g,rmsAW_r,rmsAW_i,rmsTHELI_u,rmsExpo_u,rmsTHELI_g,rmsExpo_g,rmsTHELI_r,rmsExpo_r,rmsTHELI_i,rmsExpo_i,FileSeeing_u,seeing_e1_u,FileSeeing_g,seeing_e1_g,FileSeeing_r,seeing_e1_r,FileSeeing_i,seeing_e1_i,MeasSeeing_u,MeasBeta_u,MeasSeeing_g,MeasBeta_g,MeasSeeing_r,MeasBeta_r,MeasSeeing_i,MeasBeta_i,InputSeeing_u,InputBeta_u,InputSeeing_g,InputBeta_g,InputSeeing_r,InputBeta_r,InputSeeing_i,InputBeta_i,HeaderSeeing_Z,MeasSeeing_Z,rms_Z,HeaderSeeing_Y,MeasSeeing_Y,rms_Y,HeaderSeeing_J,MeasSeeing_J,rms_J,HeaderSeeing_H,MeasSeeing_H,rms_H,HeaderSeeing_Ks,MeasSeeing_Ks,rms_Ks,MeasBeta_Z,MeasBeta_Y,MeasBeta_J,MeasBeta_H,MeasBeta_Ks,InputSeeing_Z,InputBeta_Z,InputSeeing_Y,InputBeta_Y,InputSeeing_J,InputBeta_J,InputSeeing_H,InputBeta_H,InputSeeing_Ks,InputBeta_Ks,rmsExpo_Z,rmsExpo_Y,rmsExpo_J,rmsExpo_H,rmsExpo_Ks,seeing_e1_r_expo0,seeing_e1_r_expo1,seeing_e1_r_expo2,seeing_e1_r_expo3,seeing_e1_r_expo4,dist2center
45.4_-31.2,5.5210658655327105,2.339644940776421,2.0013639209596894,5.7358352227939475,6.321068309448397,12.642136618896794,2.678659492694924,5.989664714240951,2.291361553106748,5.1236401937761835,6.566957746576789,14.684163926714538,1.149,0.035,1.104,0.04,0.628,0.043,1.064,0.035,1.0652754,2.391914,1.0264202000000002,2.400818,0.6051076000000001,2.5673209999999997,1.0049814,2.60751,1.0505508,2.355473243737754,1.0128404000000004,2.3596015026253108,0.5742151999999999,2.303745924308791,0.9919628000000004,2.551989507947524,1.0234556630146974,1.106369062354287,15.225718139875966,1.0098400471368527,1.0466140537169109,50.11603225297887,0.9550932468295258,0.9935946495928126,32.89249596201807,0.7871352313864133,0.8631920290317879,56.666477179979154,0.8590562383829011,0.945589946406476,79.83372543035192,2.617996821561635,2.6901124427761345,2.784423181127296,3.25269914269502,2.9066831005455613,1.0703381247085741,2.496437740181612,1.0086281074338217,2.5396705505861785,0.9535892991856252,2.6034014620084136,0.8219840580635758,2.99884903423152,0.9051798928129516,2.7237177132759665,15.225718139875966,50.11603225297887,32.89249596201807,56.666477179979154,79.83372543035192,0.020730124511849857,0.05517304672026968,0.024749277253044544,0.040185588819669486,0.021724454662158558,0.4472135954999563
44.3_-31.2,5.208770983671376,2.1760017833928305,2.6249457115157795,7.011105840046415,5.9635218992053565,11.927043798410713,2.4913044418064505,5.5707260845263935,3.005300345114416,6.720055864479411,8.027015076269137,17.948951366953448,1.024,0.064,0.69,0.051,0.618,0.052000000000000005,1.149,0.038,0.9373798,2.2260400000000002,0.6374826000000001,2.371624,0.6020616000000001,2.754284,1.0711351999999998,2.210265,0.9207596000000002,2.176397500386272,0.6089652000000002,2.178373593903528,0.5721231999999999,2.45848386927562,1.0562703999999996,2.1649661403588696,0.9407361245406116,1.0173021301960867,17.516962045270787,0.9105928648750308,0.954359678066662,45.63851134514046,0.9428082190811566,0.9849331703319496,32.46388647038507,0.8772975595263693,0.9412029562081838,56.40939700532937,0.946238553967547,1.032441465757424,66.63780446924451,2.7379043056222585,2.881045262804101,2.8034683620388963,2.92014488524557,2.7120060120648635,0.9806042603921734,2.5818789887637634,0.912519356133324,2.694001229746725,0.9464663406638992,2.631103345337522,0.8998059124163675,2.7237968559111323,0.9938829315148484,2.556230003610938,17.516962045270787,45.63851134514046,32.46388647038507,56.40939700532937,66.63780446924451,0.1033622131429348,0.0529014184241271,0.052928047398771993,0.03903030927307971,0.05383584760453397,0.7280109889280544
44.9_-30.2,5.680638449607898,2.2389493392817017,2.2025673963599224,12.655548317668496,6.50376296095608,13.00752592191216,2.5633730985436194,5.7318765000378,2.5217194120924744,5.638736025619577,14.489337268898652,32.39914308217855,0.978,0.045,0.65,0.047,0.488,0.052000000000000005,0.733,0.057,0.8977010000000001,1.9301409999999999,0.614812,2.323248,0.49944,3.506128,0.6926960000000001,3.09463,0.8794020000000001,1.8859068706716584,0.583624,2.1059818850621053,0.4568799999999998,2.660174815580932,0.6713920000000002,2.8809846269325994,0.9862002074085916,1.033770498309351,15.09263605936357,0.8549344468415967,0.9029353959191068,32.313882824882185,0.959575653243274,0.9927826980496941,25.104307922313577,1.033452684019853,1.081229667661065,39.85591413778254,0.9888948055273148,1.0554722740202644,48.632928647722856,2.70986031059928,3.0584303729031896,2.786158943830213,2.6448128592364486,2.6774779543652283,0.996540996618702,2.560282445694096,0.8606707918382135,2.839456661346777,0.951965396099388,2.630814663405753,1.0438593353221302,2.5079303856632738,1.0161445480405291,2.5277978209374363,15.09263605936357,32.313882824882185,25.104307922313577,39.85591413778254,48.632928647722856,0.03284258804914208,0.07466546296805099,0.04440341237758927,0.035762605077309106,0.09814862699558248,0.8062257748298559
44.7_-32.1,5.553186794359164,1.95034885382528,2.4084636059493727,9.342587188844368,6.357843560861805,12.71568712172361,2.2329544027445625,4.993037835194285,2.757449982451436,6.165845605317013,10.696328072507912,23.917716679766997,0.6629999999999999,0.038,0.7090000000000001,0.047,0.614,0.044000000000000004,0.893,0.05,0.6189496000000001,1.931444,0.6783128,2.164391,0.5916734,2.195125,0.8411618000000001,2.331496,0.5858992000000002,1.7702046014847173,0.6526255999999999,2.018510567798565,0.5573468,1.9648754218602345,0.8223236000000002,2.2592633590611806,0.9834992108362148,1.050001268660468,16.285140022317115,0.9914798422070328,1.0045528466105798,36.04291374471907,0.8895642042223262,0.9672600274243652,31.99982600553244,0.7476950302772652,0.8253625776022585,100.15255062689128,0.8571040387014544,0.9624269841126876,102.4025552088592,2.68519001395336,2.761950780756884,2.8462041776647324,3.5059802043435657,2.8588746632945417,1.0120025373209358,2.5383992938812976,0.9653056932211594,2.6085665189769536,0.9281200548487304,2.670236863322499,0.7803251552045171,3.1960330771991416,0.921853968225375,2.67949101552716,16.285140022317115,36.04291374471907,31.99982600553244,100.15255062689128,102.4025552088592,0.036269551538557265,0.04083882441803188,0.021474097083480248,0.1035024715487678,0.020441838074587,1.1401754250991385
46.0_-30.2,5.391055542398722,1.9866134378366456,2.4095361071653842,7.101527676926793,6.172219490492295,12.34443898098459,2.274473724979175,5.085877862090596,2.7586778890936468,6.1685912880390195,8.130539037313483,18.18043798114865,0.87,0.067,0.843,0.043,0.539,0.049,0.882,0.038,0.8062772000000001,2.210634,0.7818784000000001,2.230493,0.5660488,3.122107,0.836572,2.403625,0.7865544000000002,2.129238452525724,0.7607568000000002,2.1357767021797267,0.5330976,2.6585300795358053,0.8171439999999999,2.3122662293979146,0.8651078467365436,0.8932739090799858,23.60433908726755,0.7940043057974189,0.8993397184385294,44.00142729506068,0.9159325778558736,0.9645418536965464,40.62829379121352,0.8938773709451958,0.967242518050162,104.35858981719677,0.9722897415020744,1.0632246455004488,77.85312982680391,3.1002222046839387,3.073619192379168,2.853275384362795,2.846249282075232,2.667034650567525,0.8515478181599716,2.867540268498534,0.8568794368770588,2.8487728918172386,0.9226837073930928,2.676540797270583,0.924685036100324,2.653645368442668,1.0248492910008975,2.5274006023556086,23.60433908726755,44.00142729506068,40.62829379121352,104.35858981719677,77.85312982680391,0.05779833289216552,0.05761871680469166,0.0413230095660736,0.0747200494223984,0.05321537713389135,1.2806248474865702
45.9_-32.1,5.773225622872504,2.3823810245638057,2.098074806361165,5.3448733933694905,6.609766015626727,13.219532031253454,2.7275880350231003,6.0990722609267305,2.402085845802897,5.371227239005357,6.119345548068727,13.683272623292382,1.0659999999999998,0.040999999999999995,0.961,0.037000000000000005,0.613,0.05,1.146,0.035,0.984264,2.291527,0.895524,2.3668299999999998,0.6014840000000001,2.7962540000000002,1.079982,2.6414869999999997,0.9685279999999998,2.2418092479021885,0.8790479999999999,2.305061553678765,0.5709680000000001,2.4872063432900267,1.065964,2.5946928241713665,0.9189313722710376,1.0354794050443878,22.108912010263087,0.8669596461292294,0.9336786872677733,44.062680948389385,0.7837507992747441,0.8694180216562968,32.815780072907444,0.8117174215482666,0.8729480904836622,104.63739406057957,0.7786857656277083,0.8847795600047981,124.19828891681999,2.7071302666195933,2.9442804401993947,3.2180686404047285,3.1991910308245424,3.1396597185219624,0.9965588100887756,2.5569917036004948,0.8915573745355464,2.744820950019849,0.8276360433125934,2.965261658906293,0.8312961809673243,2.9499041107733417,0.8413591200095961,2.90721832209188,22.108912010263087,44.062680948389385,32.815780072907444,104.63739406057957,124.19828891681999,0.0319571060957744,0.043775530441024224,0.060353619744071614,0.03572036814124213,0.05224995130844012,1.4212670403551897
43.7_-30.2,5.468400573424313,1.9776821214343885,2.4280515458237177,9.496046015198326,6.260771816513494,12.521543633026988,2.26424826083023,5.063013029152068,2.7798762148135734,6.2159921853579565,10.87202308280056,24.310582666088877,1.0759999999999998,0.044000000000000004,1.099,0.034,0.8590000000000001,0.047,1.034,0.044000000000000004,0.9828544,2.197127,1.0126174000000001,2.11547,0.8349648000000001,2.531417,0.9666724,2.3856900000000003,0.9657087999999999,2.158650525962581,0.9972347999999998,2.0658793640996067,0.8159296000000001,2.452132325501567,0.9513448,2.325570813315237,0.7996591863556065,0.9067799891904654,22.359113141386146,0.7740111986668307,0.8295888212261125,45.27930829273878,0.8795153229976698,0.930440342962878,48.353456343859634,0.9509867331564263,0.9957366774336254,76.80601667625629,0.943870582423881,1.002040408390535,104.71956425897308,3.042649606272726,3.4735288989037647,2.955092727605108,2.779891882959776,2.7669499628206373,0.8649599783809307,2.8262024722442494,0.7853776424522251,3.171594505528826,0.8884806859257558,2.7568915571773527,0.9544733548672508,2.6049673490127288,0.96028081678107,2.595233580775365,22.359113141386146,45.27930829273878,48.353456343859634,76.80601667625629,104.71956425897308,0.028533887617996686,0.035495567788727644,0.04405445202580127,0.04410890393799294,0.024369674675493003,1.5264337522473728
46.6_-31.2,5.375532075684877,2.198889702797567,2.1551945214290047,7.865926010465647,6.154446673451612,12.308893346903224,2.517508820732933,5.629320857114172,2.4674822075840668,5.517457949429221,9.005698689382116,20.137354454339174,1.288,0.03,0.98,0.038,0.909,0.055,0.737,0.05,1.1904124000000005,2.300577,0.8965694000000002,2.005852,0.8628216000000001,2.741536,0.6959718,2.3697939999999997,1.176824800000001,2.27522532746024,0.8771388000000003,1.94072661932883,0.8456431999999999,2.6453332718323845,0.6719436,2.223265305231924,0.8373322444957549,0.9140210420703851,23.717242368600825,0.7992043858158815,0.9025762130409378,48.51017665284933,0.8096641620126555,0.8863340394670957,45.19359214516591,0.8390288344832176,0.900384834583575,78.477610293549,0.8116077799485621,0.9001749985938146,81.81930547659243,3.0141628247479377,3.0599287227563385,3.1322445772907552,3.069160790551446,3.0700530455913966,0.8726420841407702,2.8053952633804764,0.8599524260818756,2.8402046367376035,0.8444680789341913,2.8959686687506734,0.8589696691671499,2.8396742788707416,0.858549997187629,2.8488493674799167,23.717242368600825,48.51017665284933,45.19359214516591,78.477610293549,81.81930547659243,0.0744327760109238,0.08145625451424343,0.08523753157852587,0.08487109757630773,0.07799193517727976,1.6124515496597112
43.5_-32.1,5.816110587032798,2.078790968825348,2.121862900823457,7.414962296730359,6.658865011093848,13.317730022187696,2.3800077802081403,5.321859183523781,2.429320835152775,5.432126526558165,8.489390333526584,18.98285387329505,1.001,0.035,0.7759999999999999,0.044000000000000004,0.682,0.046,0.659,0.054000000000000006,0.9024694,1.90153,0.7225544,2.25905,0.6490428,2.560777,0.6285012000000001,2.623642,0.8849388000000001,1.8604180616562769,0.6991088000000001,2.142507969590504,0.6220856,2.3556753589357027,0.5990024000000002,2.379573533873681,1.0171709815754932,1.0930616573581575,17.28077450783276,0.9654808402590837,1.0403992489210083,36.077587694747976,0.962762889560206,0.9985149597940112,31.08148459866584,0.9709366679307144,1.0262700733029548,65.7842131257546,0.9918373071554902,1.0873161301430971,67.64777530298173,2.631623344759537,2.699448972335717,2.7741165012468616,2.7222338501261096,2.6378960391304926,1.053923314716315,2.4954629134427404,0.9995984978420164,2.546063783728895,0.9600299195880224,2.610199915840897,0.9883401466059096,2.5728768784980245,1.049232260286194,2.496317006477788,17.28077450783276,36.077587694747976,31.08148459866584,65.7842131257546,67.64777530298173,0.03431107463823368,0.029140653294149613,0.05235106983527993,0.037276528954787946,0.03375339924220766,1.8601075237738283
45.6_-29.2,5.004853038929261,1.9593778092345613,2.203501489511166,7.498783985274628,5.730056244270109,11.46011248854022,2.243291653792649,5.016152631238287,2.522788855341333,5.6411273734221075,8.58535778474092,19.197443617837703,1.475,0.036000000000000004,0.792,0.054000000000000006,0.695,0.052000000000000005,0.6,0.048,1.3681800000000002,2.4773330000000002,0.7262217999999999,2.359986,0.6494888000000001,2.329767,0.6085598000000001,3.022207,1.3563600000000002,2.4455053807675164,0.7024435999999998,2.2372261658442216,0.6229776000000001,2.149884455325557,0.5791196000000002,2.688497492261124,0.8917111208146521,0.9456091047136488,21.946076184455848,0.7841707704405022,0.8751413205119905,46.58896485701381,0.8727357428928751,0.9313964624592412,52.17900235876461,0.9868839678811876,1.0311053120688043,97.4004037868962,0.958331127646783,1.0662111933053464,112.29735951034336,2.9066252656064395,3.187728339463378,2.9518730799407202,2.7141832922862466,2.663157163231598,0.9052182094272976,2.705169806304143,0.8322826410239808,2.943250466704712,0.8903929249184824,2.7516658004113537,0.9912106241376086,2.56049447087946,1.0274223866106929,2.5137081900642384,21.946076184455848,46.58896485701381,52.17900235876461,97.4004037868962,112.29735951034336,0.0243135833662883,0.023830728011708824,0.024519275605994872,0.02085684390474174,0.0268976352934438,1.8973665961010286
